Ngày hạch toán,Mã KH,Mã Sản Phẩm,Doanh thu,Giá vốn hàng hóa
4/17/2024,KH-0557,P-521,141750000,94500000
4/17/2024,KH-0502,P-555,6930000,4620000
4/17/2024,KH-0048,P-728,12000000,8000000
4/17/2024,KH-0396,P-224,8010000,5340000
4/17/2024,KH-0361,P-737,1920000,1280000
4/17/2024,KH-0543,P-251,29910000,19940000
4/17/2024,KH-0568,P-718,1170000,780000
4/17/2024,KH-0616,P-712,4380000,2920000
4/17/2024,KH-0195,P-021,159300000,106200000
4/17/2024,KH-0417,P-134,54630000,36420000
4/17/2024,KH-0657,P-128,38850000,25900000
4/17/2024,KH-0606,P-455,16695000,11130000
4/17/2024,KH-0500,P-087,123900000,82600000
4/17/2024,KH-0376,P-348,294975000,196650000
4/17/2024,KH-0035,P-190,2640000,1760000
4/17/2024,KH-0190,P-348,353970000,235980000
4/17/2024,KH-0384,P-671,4095000,2730000
4/17/2024,KH-0593,P-351,5400000,3600000
4/17/2024,KH-0664,P-388,61500000,41000000
4/17/2024,KH-0028,P-265,233205000,155470000
4/17/2024,KH-0053,P-271,27405000,18270000
4/17/2024,KH-0040,P-328,240000,160000
4/17/2024,KH-0281,P-255,18060000,12040000
4/17/2024,KH-0762,P-692,2730000,1820000
4/18/2024,KH-0619,P-520,19950000,13300000
4/18/2024,KH-0300,P-371,5220000,3480000
4/18/2024,KH-0757,P-760,13050000,8700000
4/18/2024,KH-0786,P-393,19275000,12850000
4/18/2024,KH-0737,P-027,21210000,14140000
4/18/2024,KH-0778,P-100,144315000,96210000
4/18/2024,KH-0151,P-519,54405000,36270000
4/18/2024,KH-0271,P-571,141750000,94500000
4/18/2024,KH-0102,P-656,19890000,13260000
4/18/2024,KH-0441,P-797,68250000,45500000
4/18/2024,KH-0761,P-366,4320000,2880000
4/18/2024,KH-0095,P-657,2760000,1840000
4/18/2024,KH-0303,P-391,498750000,332500000
4/18/2024,KH-0221,P-408,80025000,53350000
4/18/2024,KH-0669,P-515,44880000,29920000
4/18/2024,KH-0399,P-339,11430000,7620000
4/18/2024,KH-0508,P-285,5160000,3440000
4/18/2024,KH-0004,P-302,23925000,15950000
4/18/2024,KH-0101,P-793,28170000,18780000
4/18/2024,KH-0102,P-374,24300000,16200000
4/18/2024,KH-0588,P-388,55350000,36900000
4/18/2024,KH-0144,P-648,9900000,6600000
4/18/2024,KH-0417,P-514,661905000,441270000
4/18/2024,KH-0709,P-475,1500000,1000000
4/18/2024,KH-0353,P-718,4680000,3120000
4/18/2024,KH-0033,P-418,4320000,2880000
4/18/2024,KH-0701,P-666,8280000,5520000
4/18/2024,KH-0142,P-293,210000,140000
4/18/2024,KH-0067,P-761,15600000,10400000
4/19/2024,KH-0583,P-616,1110000,740000
4/19/2024,KH-0310,P-551,5220000,3480000
4/19/2024,KH-0541,P-509,1440000,960000
4/19/2024,KH-0283,P-174,109440000,72960000
4/19/2024,KH-0737,P-617,4110000,2740000
4/19/2024,KH-0411,P-067,4140000,2760000
4/19/2024,KH-0670,P-678,1140000,760000
4/19/2024,KH-0435,P-141,8520000,5680000
4/19/2024,KH-0359,P-427,960795000,640530000
4/19/2024,KH-0464,P-152,1250475000,833650000
4/19/2024,KH-0124,P-759,450000,300000
4/19/2024,KH-0340,P-114,2130000,1420000
4/19/2024,KH-0579,P-592,2700000,1800000
4/19/2024,KH-0484,P-058,32820000,21880000
4/19/2024,KH-0763,P-519,181350000,120900000
4/19/2024,KH-0756,P-056,110985000,73990000
4/19/2024,KH-0578,P-785,3600000,2400000
4/19/2024,KH-0186,P-103,62580000,41720000
4/19/2024,KH-0070,P-207,35280000,23520000
4/19/2024,KH-0137,P-367,870480000,580320000
4/19/2024,KH-0509,P-403,945000,630000
4/19/2024,KH-0379,P-719,2340000,1560000
4/19/2024,KH-0679,P-569,2040000,1360000
4/19/2024,KH-0033,P-696,301050000,200700000
4/19/2024,KH-0560,P-413,42945000,28630000
4/19/2024,KH-0556,P-605,16320000,10880000
4/19/2024,KH-0265,P-300,10920000,7280000
4/19/2024,KH-0043,P-688,3150000,2100000
4/20/2024,KH-0780,P-104,1200000,800000
4/20/2024,KH-0003,P-513,4875000,3250000
4/20/2024,KH-0484,P-267,26400000,17600000
4/20/2024,KH-0576,P-799,735000,490000
4/20/2024,KH-0253,P-527,177060000,118040000
4/20/2024,KH-0420,P-155,1395975000,930650000
4/20/2024,KH-0525,P-500,5880000,3920000
4/20/2024,KH-0087,P-321,42315000,28210000
4/20/2024,KH-0443,P-128,11655000,7770000
4/20/2024,KH-0191,P-653,24840000,16560000
4/20/2024,KH-0274,P-363,233325000,155550000
4/20/2024,KH-0010,P-710,15210000,10140000
4/20/2024,KH-0515,P-666,12420000,8280000
4/20/2024,KH-0113,P-401,855000,570000
4/20/2024,KH-0336,P-650,2040000,1360000
4/20/2024,KH-0089,P-633,2625000,1750000
4/20/2024,KH-0012,P-774,3180000,2120000
4/20/2024,KH-0314,P-590,54600000,36400000
4/20/2024,KH-0281,P-503,269850000,179900000
4/20/2024,KH-0319,P-672,8400000,5600000
4/20/2024,KH-0237,P-655,1755000,1170000
4/20/2024,KH-0329,P-757,3600000,2400000
4/20/2024,KH-0019,P-461,33075000,22050000
4/20/2024,KH-0556,P-651,1740000,1160000
4/20/2024,KH-0304,P-093,13920000,9280000
4/20/2024,KH-0011,P-532,1170000,780000
4/20/2024,KH-0125,P-468,18720000,12480000
4/20/2024,KH-0087,P-183,2100000,1400000
4/21/2024,KH-0287,P-257,229200000,152800000
4/21/2024,KH-0084,P-617,16440000,10960000
4/21/2024,KH-0713,P-406,74790000,49860000
4/21/2024,KH-0765,P-509,5760000,3840000
4/21/2024,KH-0489,P-401,1140000,760000
4/21/2024,KH-0763,P-036,32130000,21420000
4/21/2024,KH-0209,P-518,6240000,4160000
4/21/2024,KH-0187,P-034,34470000,22980000
4/21/2024,KH-0633,P-572,48630000,32420000
4/21/2024,KH-0026,P-693,4545000,3030000
4/21/2024,KH-0164,P-616,3330000,2220000
4/21/2024,KH-0573,P-607,24030000,16020000
4/21/2024,KH-0666,P-027,15150000,10100000
4/21/2024,KH-0112,P-590,54600000,36400000
4/21/2024,KH-0152,P-301,90450000,60300000
4/21/2024,KH-0433,P-514,147090000,98060000
4/21/2024,KH-0131,P-725,21240000,14160000
4/21/2024,KH-0514,P-597,9585000,6390000
4/21/2024,KH-0071,P-353,3750000,2500000
4/21/2024,KH-0385,P-643,585000,390000
4/21/2024,KH-0400,P-313,211050000,140700000
4/21/2024,KH-0472,P-326,2250000,1500000
4/21/2024,KH-0194,P-022,11460000,7640000
4/21/2024,KH-0450,P-264,15795000,10530000
4/21/2024,KH-0551,P-080,48000000,32000000
4/21/2024,KH-0626,P-582,296640000,197760000
4/21/2024,KH-0021,P-142,27090000,18060000
4/22/2024,KH-0037,P-081,6450000,4300000
4/22/2024,KH-0036,P-370,157710000,105140000
4/22/2024,KH-0288,P-541,63540000,42360000
4/22/2024,KH-0576,P-473,58275000,38850000
4/22/2024,KH-0128,P-187,34440000,22960000
4/22/2024,KH-0144,P-731,37395000,24930000
4/22/2024,KH-0408,P-007,64800000,43200000
4/22/2024,KH-0066,P-751,270000,180000
4/22/2024,KH-0462,P-769,2760000,1840000
4/22/2024,KH-0704,P-168,54000000,36000000
4/22/2024,KH-0515,P-620,93420000,62280000
4/22/2024,KH-0177,P-217,27360000,18240000
4/22/2024,KH-0161,P-568,611100000,407400000
4/22/2024,KH-0534,P-542,1680000,1120000
4/22/2024,KH-0635,P-130,57225000,38150000
4/22/2024,KH-0165,P-138,286110000,190740000
4/22/2024,KH-0422,P-056,142695000,95130000
4/22/2024,KH-0258,P-680,4920000,3280000
4/22/2024,KH-0069,P-391,249375000,166250000
4/22/2024,KH-0119,P-606,1575000,1050000
4/22/2024,KH-0757,P-393,134925000,89950000
4/22/2024,KH-0044,P-475,1350000,900000
4/22/2024,KH-0317,P-485,3825000,2550000
4/22/2024,KH-0185,P-218,1315980000,877320000
4/23/2024,KH-0785,P-307,108840000,72560000
4/23/2024,KH-0628,P-766,7290000,4860000
4/23/2024,KH-0378,P-500,10290000,6860000
4/23/2024,KH-0729,P-419,88200000,58800000
4/23/2024,KH-0220,P-281,73620000,49080000
4/23/2024,KH-0479,P-324,81060000,54040000
4/23/2024,KH-0260,P-449,31050000,20700000
4/23/2024,KH-0730,P-720,33720000,22480000
4/23/2024,KH-0420,P-629,510000,340000
4/23/2024,KH-0189,P-592,3240000,2160000
4/23/2024,KH-0415,P-552,227700000,151800000
4/23/2024,KH-0154,P-331,688635000,459090000
4/23/2024,KH-0744,P-204,42120000,28080000
4/23/2024,KH-0251,P-261,5940000,3960000
4/23/2024,KH-0576,P-197,155400000,103600000
4/23/2024,KH-0570,P-380,240000,160000
4/23/2024,KH-0559,P-001,80775000,53850000
4/23/2024,KH-0199,P-695,1500000,1000000
4/23/2024,KH-0214,P-755,2460000,1640000
4/23/2024,KH-0108,P-015,36450000,24300000
4/23/2024,KH-0364,P-356,2565000,1710000
4/23/2024,KH-0039,P-108,177480000,118320000
4/23/2024,KH-0278,P-793,9390000,6260000
4/23/2024,KH-0356,P-136,5610000,3740000
4/23/2024,KH-0095,P-404,480000,320000
4/23/2024,KH-0550,P-597,7455000,4970000
4/23/2024,KH-0641,P-793,28170000,18780000
4/24/2024,KH-0118,P-199,4590000,3060000
4/24/2024,KH-0141,P-516,73815000,49210000
4/24/2024,KH-0521,P-172,54285000,36190000
4/24/2024,KH-0186,P-710,25350000,16900000
4/24/2024,KH-0365,P-212,8610000,5740000
4/24/2024,KH-0654,P-327,5400000,3600000
4/24/2024,KH-0079,P-596,1920000,1280000
4/24/2024,KH-0322,P-386,73920000,49280000
4/24/2024,KH-0379,P-205,59400000,39600000
4/24/2024,KH-0126,P-340,255000,170000
4/24/2024,KH-0497,P-413,343560000,229040000
4/24/2024,KH-0089,P-355,610740000,407160000
4/24/2024,KH-0695,P-138,476850000,317900000
4/24/2024,KH-0677,P-367,1305720000,870480000
4/24/2024,KH-0113,P-425,81900000,54600000
4/24/2024,KH-0205,P-617,32880000,21920000
4/24/2024,KH-0627,P-046,170550000,113700000
4/24/2024,KH-0687,P-476,5985000,3990000
4/24/2024,KH-0401,P-632,65610000,43740000
4/24/2024,KH-0739,P-229,1500000,1000000
4/24/2024,KH-0203,P-114,19170000,12780000
4/24/2024,KH-0267,P-556,66690000,44460000
4/24/2024,KH-0729,P-138,476850000,317900000
4/24/2024,KH-0654,P-017,35640000,23760000
4/24/2024,KH-0665,P-403,105000,70000
4/24/2024,KH-0192,P-409,72555000,48370000
4/24/2024,KH-0382,P-362,9870000,6580000
4/24/2024,KH-0267,P-196,24015000,16010000
4/24/2024,KH-0177,P-067,690000,460000
4/24/2024,KH-0233,P-347,315360000,210240000
4/24/2024,KH-0028,P-151,6844500000,4563000000
4/24/2024,KH-0375,P-295,900000,600000
4/24/2024,KH-0146,P-569,5100000,3400000
4/24/2024,KH-0314,P-210,3390000,2260000
4/25/2024,KH-0629,P-691,17250000,11500000
4/25/2024,KH-0652,P-484,4575000,3050000
4/25/2024,KH-0308,P-130,103005000,68670000
4/25/2024,KH-0348,P-251,209370000,139580000
4/25/2024,KH-0030,P-589,1350000,900000
4/25/2024,KH-0167,P-259,780000,520000
4/25/2024,KH-0265,P-754,2175000,1450000
4/25/2024,KH-0766,P-677,4995000,3330000
4/25/2024,KH-0433,P-294,525000,350000
4/25/2024,KH-0046,P-122,19425000,12950000
4/25/2024,KH-0455,P-371,26100000,17400000
4/25/2024,KH-0140,P-778,900000,600000
4/25/2024,KH-0531,P-445,3420000,2280000
4/25/2024,KH-0256,P-009,44550000,29700000
4/25/2024,KH-0117,P-403,735000,490000
4/25/2024,KH-0695,P-170,4920000,3280000
4/25/2024,KH-0607,P-122,22200000,14800000
4/25/2024,KH-0756,P-391,448875000,299250000
4/25/2024,KH-0242,P-428,52440000,34960000
4/25/2024,KH-0354,P-433,60690000,40460000
4/25/2024,KH-0123,P-075,7155000,4770000
4/25/2024,KH-0711,P-542,1200000,800000
4/25/2024,KH-0672,P-689,5925000,3950000
4/25/2024,KH-0152,P-695,2100000,1400000
4/25/2024,KH-0504,P-747,5715000,3810000
4/25/2024,KH-0017,P-757,5760000,3840000
4/25/2024,KH-0721,P-540,12870000,8580000
4/25/2024,KH-0472,P-352,6300000,4200000
4/26/2024,KH-0451,P-005,27750000,18500000
4/26/2024,KH-0257,P-690,13830000,9220000
4/26/2024,KH-0277,P-030,21000000,14000000
4/26/2024,KH-0574,P-686,5940000,3960000
4/26/2024,KH-0391,P-261,2970000,1980000
4/26/2024,KH-0711,P-013,6210000,4140000
4/26/2024,KH-0035,P-050,5925000,3950000
4/26/2024,KH-0435,P-366,480000,320000
4/26/2024,KH-0591,P-610,253080000,168720000
4/26/2024,KH-0386,P-305,12240000,8160000
4/26/2024,KH-0061,P-267,7920000,5280000
4/26/2024,KH-0757,P-755,6150000,4100000
4/26/2024,KH-0090,P-576,3000000,2000000
4/26/2024,KH-0243,P-303,462240000,308160000
4/26/2024,KH-0128,P-476,7695000,5130000
4/26/2024,KH-0056,P-215,1845000,1230000
4/26/2024,KH-0412,P-540,42900000,28600000
4/26/2024,KH-0080,P-187,43050000,28700000
4/26/2024,KH-0130,P-444,494160000,329440000
4/26/2024,KH-0132,P-247,29640000,19760000
4/26/2024,KH-0261,P-186,13320000,8880000
4/26/2024,KH-0627,P-598,4725000,3150000
4/27/2024,KH-0216,P-621,2070000,1380000
4/27/2024,KH-0326,P-047,25410000,16940000
4/27/2024,KH-0209,P-485,3825000,2550000
4/27/2024,KH-0686,P-319,38100000,25400000
4/27/2024,KH-0481,P-305,20400000,13600000
4/27/2024,KH-0741,P-301,144720000,96480000
4/27/2024,KH-0513,P-772,3840000,2560000
4/27/2024,KH-0691,P-713,1920000,1280000
4/27/2024,KH-0116,P-055,8040000,5360000
4/27/2024,KH-0699,P-153,2163645000,1442430000
4/27/2024,KH-0165,P-460,22575000,15050000
4/27/2024,KH-0018,P-206,1560000,1040000
4/27/2024,KH-0701,P-595,2880000,1920000
4/27/2024,KH-0629,P-246,54810000,36540000
4/27/2024,KH-0574,P-738,94440000,62960000
4/27/2024,KH-0709,P-518,18720000,12480000
4/27/2024,KH-0422,P-551,7830000,5220000
4/27/2024,KH-0282,P-489,265185000,176790000
4/27/2024,KH-0527,P-105,40680000,27120000
4/27/2024,KH-0452,P-612,22230000,14820000
4/27/2024,KH-0557,P-456,40800000,27200000
4/27/2024,KH-0218,P-016,28200000,18800000
4/27/2024,KH-0341,P-382,21270000,14180000
4/27/2024,KH-0744,P-663,77670000,51780000
4/27/2024,KH-0585,P-146,30480000,20320000
4/27/2024,KH-0368,P-400,3750000,2500000
4/27/2024,KH-0684,P-504,12450000,8300000
4/28/2024,KH-0358,P-401,1710000,1140000
4/28/2024,KH-0292,P-134,36420000,24280000
4/28/2024,KH-0139,P-441,4080000,2720000
4/28/2024,KH-0653,P-465,140850000,93900000
4/28/2024,KH-0575,P-705,46500000,31000000
4/28/2024,KH-0328,P-555,5940000,3960000
4/28/2024,KH-0226,P-606,1260000,840000
4/28/2024,KH-0133,P-139,14325000,9550000
4/28/2024,KH-0510,P-011,15885000,10590000
4/28/2024,KH-0350,P-097,6960000,4640000
4/28/2024,KH-0043,P-227,15300000,10200000
4/28/2024,KH-0390,P-239,76905000,51270000
4/28/2024,KH-0498,P-413,214725000,143150000
4/28/2024,KH-0348,P-461,22050000,14700000
4/28/2024,KH-0345,P-745,6660000,4440000
4/28/2024,KH-0039,P-771,120000,80000
4/28/2024,KH-0716,P-249,6540000,4360000
4/28/2024,KH-0063,P-018,2940000,1960000
4/28/2024,KH-0534,P-071,7950000,5300000
4/28/2024,KH-0695,P-079,37650000,25100000
4/28/2024,KH-0157,P-755,6150000,4100000
4/28/2024,KH-0138,P-088,12150000,8100000
4/28/2024,KH-0464,P-349,148680000,99120000
4/28/2024,KH-0742,P-316,154080000,102720000
4/28/2024,KH-0080,P-146,152400000,101600000
4/28/2024,KH-0008,P-344,198375000,132250000
4/28/2024,KH-0012,P-301,126630000,84420000
4/28/2024,KH-0569,P-711,6120000,4080000
4/28/2024,KH-0283,P-719,5850000,3900000
4/28/2024,KH-0179,P-674,720000,480000
4/28/2024,KH-0017,P-194,4050000,2700000
4/28/2024,KH-0078,P-123,9495000,6330000
4/28/2024,KH-0557,P-065,65040000,43360000
4/28/2024,KH-0515,P-342,137610000,91740000
4/28/2024,KH-0149,P-768,4275000,2850000
4/28/2024,KH-0102,P-486,27825000,18550000
4/28/2024,KH-0377,P-117,72375000,48250000
4/29/2024,KH-0445,P-474,14820000,9880000
4/29/2024,KH-0564,P-710,15210000,10140000
4/29/2024,KH-0315,P-452,155250000,103500000
4/29/2024,KH-0364,P-554,30600000,20400000
4/29/2024,KH-0590,P-385,12825000,8550000
4/29/2024,KH-0274,P-379,18720000,12480000
4/29/2024,KH-0386,P-177,323100000,215400000
4/29/2024,KH-0579,P-168,180000000,120000000
4/29/2024,KH-0514,P-090,17925000,11950000
4/29/2024,KH-0442,P-522,84210000,56140000
4/29/2024,KH-0240,P-097,34800000,23200000
4/29/2024,KH-0469,P-637,105000,70000
4/29/2024,KH-0118,P-097,6960000,4640000
4/29/2024,KH-0624,P-775,2025000,1350000
4/29/2024,KH-0031,P-291,1230000,820000
4/29/2024,KH-0264,P-200,68985000,45990000
4/29/2024,KH-0739,P-345,10140000,6760000
4/29/2024,KH-0143,P-373,84900000,56600000
4/29/2024,KH-0574,P-471,11070000,7380000
4/29/2024,KH-0598,P-147,3145860000,2097240000
4/29/2024,KH-0126,P-257,366720000,244480000
4/29/2024,KH-0046,P-339,3810000,2540000
4/29/2024,KH-0695,P-193,28440000,18960000
4/29/2024,KH-0496,P-556,51870000,34580000
4/29/2024,KH-0325,P-092,70245000,46830000
4/29/2024,KH-0451,P-101,4860000,3240000
4/29/2024,KH-0046,P-708,1200000,800000
4/30/2024,KH-0251,P-789,2610000,1740000
4/30/2024,KH-0707,P-533,76650000,51100000
4/30/2024,KH-0370,P-774,4770000,3180000
4/30/2024,KH-0074,P-327,1800000,1200000
4/30/2024,KH-0421,P-400,375000,250000
4/30/2024,KH-0501,P-736,2415000,1610000
4/30/2024,KH-0669,P-692,2340000,1560000
4/30/2024,KH-0379,P-084,349050000,232700000
4/30/2024,KH-0782,P-196,240150000,160100000
4/30/2024,KH-0227,P-120,5955000,3970000
4/30/2024,KH-0119,P-031,1050000,700000
4/30/2024,KH-0494,P-641,8370000,5580000
4/30/2024,KH-0140,P-085,11670000,7780000
4/30/2024,KH-0680,P-355,67860000,45240000
4/30/2024,KH-0045,P-314,17370000,11580000
4/30/2024,KH-0231,P-732,63240000,42160000
4/30/2024,KH-0100,P-718,9360000,6240000
4/30/2024,KH-0422,P-473,174825000,116550000
4/30/2024,KH-0785,P-242,250320000,166880000
4/30/2024,KH-0279,P-174,145920000,97280000
4/30/2024,KH-0252,P-232,9900000,6600000
4/30/2024,KH-0035,P-784,4800000,3200000
4/30/2024,KH-0622,P-212,11070000,7380000
4/30/2024,KH-0357,P-527,265590000,177060000
5/1/2024,KH-0099,P-267,23760000,15840000
5/1/2024,KH-0500,P-113,67380000,44920000
5/1/2024,KH-0786,P-765,1380000,920000
5/1/2024,KH-0694,P-069,1305000,870000
5/1/2024,KH-0627,P-540,34320000,22880000
5/1/2024,KH-0556,P-266,11025000,7350000
5/1/2024,KH-0347,P-239,205080000,136720000
5/1/2024,KH-0283,P-600,18270000,12180000
5/1/2024,KH-0328,P-086,2445000,1630000
5/1/2024,KH-0543,P-630,11430000,7620000
5/1/2024,KH-0524,P-330,15750000,10500000
5/1/2024,KH-0646,P-291,12300000,8200000
5/1/2024,KH-0053,P-100,160350000,106900000
5/1/2024,KH-0292,P-556,22230000,14820000
5/1/2024,KH-0002,P-757,6480000,4320000
5/1/2024,KH-0514,P-187,43050000,28700000
5/1/2024,KH-0281,P-461,11025000,7350000
5/1/2024,KH-0266,P-435,87480000,58320000
5/1/2024,KH-0170,P-303,693360000,462240000
5/1/2024,KH-0665,P-131,43020000,28680000
5/1/2024,KH-0634,P-064,18075000,12050000
5/1/2024,KH-0116,P-299,2070000,1380000
5/1/2024,KH-0531,P-232,6600000,4400000
5/2/2024,KH-0582,P-620,93420000,62280000
5/2/2024,KH-0236,P-552,512325000,341550000
5/2/2024,KH-0135,P-232,6600000,4400000
5/2/2024,KH-0035,P-722,69930000,46620000
5/2/2024,KH-0164,P-511,480000,320000
5/2/2024,KH-0293,P-492,133080000,88720000
5/2/2024,KH-0482,P-764,13125000,8750000
5/2/2024,KH-0246,P-315,184275000,122850000
5/2/2024,KH-0363,P-724,5400000,3600000
5/2/2024,KH-0460,P-798,18720000,12480000
5/2/2024,KH-0119,P-636,6675000,4450000
5/2/2024,KH-0491,P-132,68310000,45540000
5/2/2024,KH-0370,P-075,6360000,4240000
5/2/2024,KH-0054,P-554,30600000,20400000
5/2/2024,KH-0660,P-456,57120000,38080000
5/2/2024,KH-0242,P-533,15330000,10220000
5/2/2024,KH-0642,P-702,1245000,830000
5/2/2024,KH-0151,P-191,14220000,9480000
5/2/2024,KH-0487,P-440,85050000,56700000
5/2/2024,KH-0388,P-437,115245000,76830000
5/2/2024,KH-0558,P-541,63540000,42360000
5/2/2024,KH-0241,P-318,6240000,4160000
5/2/2024,KH-0205,P-733,3915000,2610000
5/2/2024,KH-0694,P-261,8910000,5940000
5/2/2024,KH-0351,P-393,57825000,38550000
5/2/2024,KH-0089,P-342,45870000,30580000
5/2/2024,KH-0539,P-046,102330000,68220000
5/2/2024,KH-0168,P-372,364320000,242880000
5/2/2024,KH-0296,P-246,60900000,40600000
5/3/2024,KH-0313,P-081,12900000,8600000
5/3/2024,KH-0683,P-353,11250000,7500000
5/3/2024,KH-0535,P-569,2550000,1700000
5/3/2024,KH-0116,P-382,74445000,49630000
5/3/2024,KH-0143,P-472,166530000,111020000
5/3/2024,KH-0123,P-681,4950000,3300000
5/3/2024,KH-0576,P-524,5340000,3560000
5/3/2024,KH-0745,P-700,14400000,9600000
5/3/2024,KH-0380,P-640,66750000,44500000
5/3/2024,KH-0450,P-642,3780000,2520000
5/3/2024,KH-0628,P-259,1950000,1300000
5/3/2024,KH-0594,P-172,62040000,41360000
5/3/2024,KH-0402,P-609,2970000,1980000
5/3/2024,KH-0291,P-705,9300000,6200000
5/3/2024,KH-0566,P-280,20820000,13880000
5/3/2024,KH-0084,P-435,87480000,58320000
5/3/2024,KH-0708,P-068,15480000,10320000
5/3/2024,KH-0119,P-136,25245000,16830000
5/3/2024,KH-0553,P-125,13320000,8880000
5/3/2024,KH-0127,P-220,965250000,643500000
5/3/2024,KH-0640,P-516,63270000,42180000
5/3/2024,KH-0634,P-192,97965000,65310000
5/3/2024,KH-0783,P-499,1155000,770000
5/3/2024,KH-0089,P-518,43680000,29120000
5/3/2024,KH-0109,P-297,332640000,221760000
5/3/2024,KH-0160,P-659,1796670000,1197780000
5/3/2024,KH-0275,P-046,34110000,22740000
5/3/2024,KH-0109,P-347,197100000,131400000
5/4/2024,KH-0538,P-414,53280000,35520000
5/4/2024,KH-0531,P-230,19530000,13020000
5/4/2024,KH-0697,P-504,7470000,4980000
5/4/2024,KH-0616,P-589,12150000,8100000
5/4/2024,KH-0634,P-088,17010000,11340000
5/4/2024,KH-0419,P-786,108750000,72500000
5/4/2024,KH-0290,P-201,42120000,28080000
5/4/2024,KH-0103,P-613,22200000,14800000
5/4/2024,KH-0740,P-506,900000,600000
5/4/2024,KH-0039,P-776,24165000,16110000
5/4/2024,KH-0368,P-041,31080000,20720000
5/4/2024,KH-0651,P-131,57360000,38240000
5/4/2024,KH-0381,P-240,50220000,33480000
5/4/2024,KH-0520,P-651,6960000,4640000
5/4/2024,KH-0697,P-011,79425000,52950000
5/4/2024,KH-0325,P-590,70200000,46800000
5/4/2024,KH-0265,P-420,38430000,25620000
5/4/2024,KH-0761,P-073,78360000,52240000
5/4/2024,KH-0733,P-502,258615000,172410000
5/4/2024,KH-0537,P-122,2775000,1850000
5/4/2024,KH-0599,P-767,5775000,3850000
5/4/2024,KH-0648,P-023,27045000,18030000
5/4/2024,KH-0119,P-430,47610000,31740000
5/4/2024,KH-0444,P-259,1950000,1300000
5/4/2024,KH-0184,P-189,1785000,1190000
5/4/2024,KH-0267,P-581,207630000,138420000
5/4/2024,KH-0328,P-724,675000,450000
5/5/2024,KH-0020,P-688,2250000,1500000
5/5/2024,KH-0678,P-033,83250000,55500000
5/5/2024,KH-0095,P-642,2100000,1400000
5/5/2024,KH-0238,P-758,156600000,104400000
5/5/2024,KH-0066,P-093,34800000,23200000
5/5/2024,KH-0421,P-753,3150000,2100000
5/5/2024,KH-0741,P-781,12840000,8560000
5/5/2024,KH-0166,P-154,39495000,26330000
5/5/2024,KH-0639,P-667,10710000,7140000
5/5/2024,KH-0136,P-094,116280000,77520000
5/5/2024,KH-0078,P-251,89730000,59820000
5/5/2024,KH-0344,P-295,2025000,1350000
5/5/2024,KH-0345,P-439,28035000,18690000
5/5/2024,KH-0646,P-312,21210000,14140000
5/5/2024,KH-0254,P-230,2790000,1860000
5/5/2024,KH-0610,P-779,3150000,2100000
5/5/2024,KH-0534,P-286,780000,520000
5/5/2024,KH-0575,P-105,122040000,81360000
5/5/2024,KH-0462,P-423,35520000,23680000
5/5/2024,KH-0264,P-656,33150000,22100000
5/5/2024,KH-0300,P-367,145080000,96720000
5/5/2024,KH-0041,P-203,128700000,85800000
5/5/2024,KH-0597,P-353,18750000,12500000
5/5/2024,KH-0427,P-248,7050000,4700000
5/5/2024,KH-0221,P-146,91440000,60960000
5/5/2024,KH-0304,P-594,2700000,1800000
5/5/2024,KH-0567,P-641,9765000,6510000
5/5/2024,KH-0108,P-221,198000000,132000000
5/5/2024,KH-0184,P-517,121680000,81120000
5/5/2024,KH-0193,P-766,8100000,5400000
5/5/2024,KH-0511,P-237,1950000,1300000
5/5/2024,KH-0495,P-782,45810000,30540000
5/5/2024,KH-0629,P-677,4995000,3330000
5/5/2024,KH-0219,P-798,42120000,28080000
5/6/2024,KH-0038,P-352,12600000,8400000
5/6/2024,KH-0411,P-767,5775000,3850000
5/6/2024,KH-0235,P-716,840000,560000
5/6/2024,KH-0561,P-252,480000,320000
5/6/2024,KH-0175,P-062,3660000,2440000
5/6/2024,KH-0199,P-237,1950000,1300000
5/6/2024,KH-0332,P-239,205080000,136720000
5/6/2024,KH-0743,P-436,23100000,15400000
5/6/2024,KH-0342,P-698,497250000,331500000
5/6/2024,KH-0303,P-482,70680000,47120000
5/6/2024,KH-0369,P-442,19050000,12700000
5/6/2024,KH-0592,P-080,38400000,25600000
5/6/2024,KH-0354,P-796,66015000,44010000
5/6/2024,KH-0557,P-341,174930000,116620000
5/6/2024,KH-0088,P-514,735450000,490300000
5/6/2024,KH-0697,P-041,26640000,17760000
5/6/2024,KH-0547,P-155,1794825000,1196550000
5/6/2024,KH-0291,P-306,114840000,76560000
5/6/2024,KH-0745,P-033,33300000,22200000
5/6/2024,KH-0701,P-067,1380000,920000
5/6/2024,KH-0467,P-523,6210000,4140000
5/6/2024,KH-0603,P-264,31590000,21060000
5/6/2024,KH-0665,P-172,15510000,10340000
5/6/2024,KH-0693,P-134,72840000,48560000
5/6/2024,KH-0132,P-444,370620000,247080000
5/6/2024,KH-0222,P-050,9480000,6320000
5/6/2024,KH-0448,P-530,57960000,38640000
5/6/2024,KH-0761,P-219,632100000,421400000
5/6/2024,KH-0680,P-055,2010000,1340000
5/7/2024,KH-0563,P-688,4500000,3000000
5/7/2024,KH-0713,P-430,31740000,21160000
5/7/2024,KH-0734,P-020,6255000,4170000
5/7/2024,KH-0710,P-159,3422250000,2281500000
