Mã KH,Khách hàng,Nhãn
KH-0311,Công ty TNHH Thương mại và xuất nhập khẩu D&C Việt Nam,Sản xuất
KH-0312,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TECCOM,Công nghệ
KH-0313,CÔNG TY TNHH QUẢN LÝ XÂY DỰNG VINCOM 1,Dịch vụ
KH-0314,Công ty TNHH Đầu tư xây dựng và thương mại Ngãi Cầu,Xây dựng
KH-0315,Công Ty TNHH thương mại kỹ thuật Thiên Phú,Khác
KH-0316,CÔNG TY TNHH CÔNG NGHỆ ĐỘT DẬP MOCHIZUKI VIỆT NAM,Công nghệ
KH-0317,Công ty TNHH Dịch Vụ Số Hợp Quân,Dịch vụ
KH-0318,Công ty TNHH Ogishi Việt Nam,Khác
KH-0319,CÔNG TY CỔ PHẦN VIỆT NGA,Khác
KH-0320,CHI NHÁNH CÔNG TY TNHH TODA VIỆT NAM TẠI HÀ NỘI,Khác
KH-0321,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TRANG NHI,Dịch vụ
KH-0322,CÔNG TY TNHH VIETNAM JINTUO ELECTRONICS,Công nghệ
KH-0323,CÔNG TY TNHH MTV THƯƠNG MẠI ITCG VIỆT NAM,Công nghệ
KH-0324,Công ty CP Đầu tư và Phát triển Đô thị Việt Hưng,Khác
KH-0325,CÔNG TY TNHH CÔNG TRÌNH CẤP THOÁT NƯỚC & HẠ TẦNG ĐÔ THỊ M.A.T,Công nghệ
KH-0326,CÔNG TY TNHH TƯ VẤN MRI,Dịch vụ
KH-0327,CÔNG TY TRÁCH NHIỆM HỮU HẠN DIGITAL DAESUNG VIỆT NAM,Công nghệ
KH-0328,CÔNG TY TNHH POWER LOGICS VINA,Năng lượng
KH-0329,CÔNG TY CỔ PHẦN QUỐC TẾ WORLD STAR,Công nghệ
KH-0330,CÔNG TY CỔ PHẦN TẬP ĐOÀN VBCC,Khác
KH-0331,CHI NHÁNH MIỀN TRUNG CÔNG TY CỔ PHẦN TU BỔ DI TÍCH TW-VINAREMON,Công nghệ
KH-0332,CÔNG TY TNHH PIN GP (VIỆT NAM),Năng lượng
KH-0333,CÔNG TY TNHH THỜI TRANG STAR,Công nghệ
KH-0334,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG CẢNG - ĐƯỜNG THUỶ,Dịch vụ
KH-0335,CÔNG TY TNHH NISSHO ELECTRONICS VIỆT NAM,Công nghệ
KH-0336,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI VIETSUN,Dịch vụ
KH-0337,CÔNG TY CỔ PHẦN HỒNG LAM,Khác
KH-0338,CÔNG TY CỔ PHẦN PHÁT TRIỂN NGUỒN NHÂN LỰC THÁI SƠN,Xây dựng
KH-0339,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP THÔNG MINH,Công nghệ
KH-0340,CÔNG TY TNHH KỸ NGHỆ BANICO,Khác
KH-0341,Công Ty Cổ Phần YoTek,Khác
KH-0342,CÔNG TY CỔ PHẦN BÁCH TOÀN,Khác
KH-0343,TỔNG CÔNG TY CỔ PHẦN BIA- RƯỢU- NƯỚC GIẢI KHÁT HÀ NỘI,Khác
KH-0344,CÔNG TY CỔ PHẦN TƯ VẤN  QUẢN TRỊ DOANH NGHIỆP TINH VÂN,Dịch vụ
KH-0345,CÔNG TY TNHH HJC VINA,Khác
KH-0346,CÔNG TY CP - TẬP ĐOÀN THAIGROUP,Công nghệ
KH-0347,Tổng cục hậu cần - Bộ quốc phòng,Khác
KH-0348,CÔNG TY CỔ PHẦN ỨNG DỤNG VÀ PHÁT TRIỂN CÔNG NGHỆ THÔNG TIN,Công nghệ
KH-0349,Công Ty TNHH Thiết Bị Tin Học Vinatech,Công nghệ
KH-0350,BAN PHÁT TRIỂN CỘNG ĐỒNG XÃ VÂN THANH,Năng lượng
KH-0351,CÔNG TY CỔ PHẦN XÂY LẮP VÀ ĐIỆN NƯỚC QUANG MINH,Năng lượng
KH-0352,CÔNG TY TNHH THÁI HOA ĐÔ,Khác
KH-0353,CÔNG TY TNHH THƯƠNG MẠI & ĐẦU TƯ CÔNG NGHỆ PHƯỢNG HOÀNG,Công nghệ
KH-0354,TRUNG TÂM ĐĂNG KIỂM XE CƠ GIỚI 98-02D-CNHTXĐTXDQL VÀ KT CHỢ HẢI AN TẠI TPBG,Khác
KH-0355,Công Ty TNHH Một Thành Viên Điện Tử Tin Học MHQ,Công nghệ
KH-0356,Công ty Cổ Phần Giải Pháp Tech Vietnam,Công nghệ
KH-0357,CÔNG TY CỔ PHẦN DỊCH VỤ VĂN PHÒNG BẮC HÀ,Dịch vụ
KH-0358,Công ty TNHH KSS Việt Nam,Khác
KH-0359,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ AN LỘC,Dịch vụ
KH-0360,"Hợp tác xã đầu tư, xây dựng, quản lý và khai thác chợ Hải An",Công nghệ
KH-0361,CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ BẢO GIANG,Công nghệ
KH-0362,VĂN PHÒNG CÔNG CHỨNG NGUYỄN VĂN THU,Khác
KH-0363,Công ty TNHH Công Nghệ Phần Mềm TOP Việt Nam,Công nghệ
KH-0364,CÔNG TY TNHH HỆ THỐNG MỚI VIỆT NAM,Công nghệ
KH-0365,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TIN HỌC EST,Công nghệ
KH-0366,Công ty Cổ Phần Đầu tư và Phát triển nhà Hà Nội số 52,Khác
KH-0367,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG AN MA VIỆT NAM,Công nghệ
KH-0368,CÔNG TY CỔ PHẦN BELLSYSTEM24-HOASAO,Khác
KH-0369,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ,Công nghệ
KH-0370,VĂN PHÒNG ĐẠI DIỆN NGÂN HÀNG TNHH CTBC TẠI HÀ NỘI,Dịch vụ
KH-0371,CÔNG TY TNHH MAXPORT LIMITED (VIET NAM),Công nghệ
KH-0372,CÔNG TY TNHH CÔNG NGHỆ PHẨM BA ĐÌNH,Công nghệ
KH-0373,CÔNG TY CP THỦY ĐIỆN LEADER NAM TIẾN,Năng lượng
KH-0374,CÔNG TY CỔ PHẦN A B PHÚ QUỐC,Khác
KH-0375,CHI NHÁNH CÔNG TY TNHH TƯ VẤN KỸ THUẬT TIN HỌC VÀ THƯƠNG MẠI VIỆT C.A.D,Công nghệ
KH-0376,CÔNG TY CỔ PHẦN BLUESOFTS,Khác
KH-0377,CÔNG TY TNHH ĐIỆN GIÓ CHÍNH THẮNG,Năng lượng
KH-0378,CÔNG TY CỔ PHẦN ADVANTECH VIỆT NAM TECHNOLOGY,Công nghệ
KH-0379,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT NAM SƠN,Công nghệ
KH-0380,CÔNG TY CỔ PHẦN KỸ THUẬT CMP,Khác
KH-0381,CÔNG TY TNHH THIẾT BỊ NỘI THẤT CAO CẤP,Sản xuất
KH-0382,CÔNG TY TNHH TÍN BẢO LAN,Khác
KH-0383,CÔNG TY TNNHH KỸ THUẬT BỀN VỮNG VIỆT NAM,Năng lượng
KH-0384,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ MÁY CHỦ MINH CHÂU,Công nghệ
KH-0385,CÔNG TY TNHH INSIGHT TECHNOLOGY VIỆT NAM,Công nghệ
KH-0386,CÔNG TY LIÊN DOANH Y HỌC VIỆT - HÀN,Khác
KH-0387,Công ty TNHH dịch vụ công nghệ phát triển bền vững và quản lý năng lượng,Công nghệ
KH-0388,Công ty cổ phần tư vấn thiết kế điện Long Giang,Dịch vụ
KH-0389,CÔNG TY TNHH HỆ THỐNG TRUYỀN TẢI VÀ PHÂN PHỐI TOSHIBA (VIỆT NAM),Công nghệ
KH-0390,CÔNG TY TRÁCH NHIỆM HỮU HẠN TIẾP VẬN THĂNG LONG,Dịch vụ
KH-0391,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,Xây dựng
KH-0392,Học Viện Khoa Học Xã Hội,Khác
KH-0393,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP VÀ ĐÀO TẠO CÔNG NGHỆ THÔNG TIN DIPT,Công nghệ
KH-0394,Chi nhánh công ty cổ phần Logistics Vinalink,Dịch vụ
KH-0395,Công Ty TNHH Framas HaNoi,Khác
KH-0396,CÔNG TY TNHH FRAMGIA VIỆT NAM,Khác
KH-0397,TRUNG TÂM TIN HỌC- BỘ KHOA HỌC CÔNG NGHỆ,Công nghệ
KH-0398,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM SAO VIỆT,Công nghệ
KH-0399,Công Ty TNHH Sao Đỏ Việt Nam,Khác
KH-0400,CÔNG TY CỔ PHẦN THƯƠNG MẠI MÁY CHỦ HÀ NỘI,Khác
KH-0401,Công ty TNHH Fujitsu Việt Nam,Công nghệ
KH-0402,CÔNG TY TNHH PHẦN MỀM CHẤT LƯỢNG,Công nghệ
KH-0403,TRUNG TÂM HẠ TẦNG THÔNG TIN TỈNH PHÚC,Công nghệ
KH-0404,CÔNG TY CỔ PHẦN TÍCH HỢP HỆ THỐNG THÔNG TIN 3CSI,Công nghệ
KH-0405,CÔNG TY CỔ PHẦN HYUNDAI THÀNH CÔNG VIỆT NAM,Công nghệ
KH-0406,CHI NHÁNH - CÔNG TY TNHH MỘT THÀNH VIÊN VIỄN THÔNG QUỐC TẾ FPT,Công nghệ
KH-0407,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN NAM Á,Công nghệ
KH-0408,CÔNG TY CỔ PHẦN CÔNG NGHỆ THƯƠNG MẠI DỊCH VỤ VIETSTARS,Công nghệ
KH-0409,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ XÂY DỰNG THÁI NGUYÊN,Dịch vụ
KH-0410,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ TOÀN THẮNG,Công nghệ
KH-0411,CHI NHÁNH MIỀN BẮC - CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC,Công nghệ
KH-0412,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC VÀ TRUYỀN THÔNG VECTECH,Công nghệ
KH-0413,CÔNG TY CỔ PHẦN CÔNG NGHỆ BẰNG HỮU,Công nghệ
KH-0414,CÔNG TY CỔ PHẦN ĐẦU TƯ CAPITAL HOUSE,Công nghệ
KH-0415,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ CÔNG NGHỆ MIỀN BẮC,Công nghệ
KH-0416,CÔNG TY TNHH THƯƠNG MẠI TÂN AN,Khác
KH-0417,CÔNG TY TNHH MEKTEC MANUFACTURING (VIỆT NAM),Khác
KH-0418,Công ty TNHH Kỹ Nghệ Phúc Anh,Khác
KH-0419,CÔNG TY CỔ PHẦN TECOMEN,Khác
KH-0420,CÔNG TY CỔ PHẦN RCEE - NIRAS,Khác
KH-0421,CÔNG TY CỔ PHẦN TMC HÀ NỘI- VIỆT NAM,Khác
KH-0422,Công ty TNHH JGC Việt Nam,Khác
KH-0423,CÔNG TY TNHH TCG LAND,Khác
KH-0424,Công ty Cổ phần Overseas Fashions,Khác
KH-0425,Công ty TNHH Trung tâm Gia công Hà Nội Việt Nam POSCO-VNPC,Sản xuất
KH-0426,Công Ty TNHH Liên Kết Công Nghệ,Công nghệ
KH-0427,Chi Nhánh Công Ty TNHH Comin Việt Nam,Khác
KH-0428,Công Ty TNHH Hệ Thống Công Nghiệp Việt Nam,Công nghệ
KH-0429,Công ty TNHH Hellobyte,Khác
KH-0430,Công Ty Cổ Phần Thương Mại Kỹ Thuật Tam Thành Phát,Khác
KH-0431,Văn phòng đại diện New World Fashion Group tại Hồ Chí Minh,Khác
KH-0432,CÔNG TY CỔ PHẦN ĐẦU TƯ Q&T,Khác
KH-0433,CÔNG TY TNHH CHUNGHWA TELECOM VIỆT NAM,Khác
KH-0434,Công ty TNHH Comin Việt Nam,Khác
KH-0435,Công Ty Cổ Phần Công Nghệ Thông Tin Địa Lý Ek,Công nghệ
KH-0436,Công Ty Cổ Phần Thức Ăn Chăn Nuôi Thái Dương,Sản xuất
KH-0437,Công ty TNHH Thương Mại Và Công Nghệ Việt,Công nghệ
KH-0438,Công ty TNHH Dịch vụ Tiện ích Quốc tế OCS,Dịch vụ
KH-0439,TRUNG TÂM THỬ NGHIỆM KHÍ THẢI PHƯƠNG TIỆN GIAO THÔNG CƠ GIỚI ĐƯỜNG BỘ,Năng lượng
KH-0440,Công Ty TNHH Viễn Thông Và Công Nghệ Cao Thái Sơn,Công nghệ
KH-0441,Công ty TNHH thương mại và sản xuất Hoàng Mai,Công nghệ
KH-0442,CÔNG TY CỔ PHẦN THƯƠNG MẠI HỒNG HÀ,Khác
KH-0443,TRUNG TÂM THÔNG TIN DỮ LIỆU ĐIỆN TỬ TỈNH THỪA THIÊN HUẾ,Công nghệ
KH-0444,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN TOÀN CẦU,Công nghệ
KH-0445,CÔNG TY TNHH HANSOL ELECTRONICS VIỆT NAM,Công nghệ
KH-0446,CÔNG TY TNHH NETCAB,Khác
KH-0447,CÔNG TY CỔ PHẦN VICOSTONE,Khác
KH-0448,CÔNG TY TNHH SX-TM HÀNH MỸ,Khác
KH-0449,CÔNG TY TNHH MANPOWER VIỆT NAM,Năng lượng
KH-0450,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH NIPPON EXPRESS (VIỆT NAM) TẠI HÀ NỘI,Khác
KH-0451,CÔNG TY CỔ PHẦN ĐIỆN TOÁN VIỄN THÔNG VIETTELCO,Công nghệ
KH-0452,CÔNG TY CỔ PHẦN KỸ THUẬT SIGMA,Khác
KH-0453,Công ty cổ phần đầu tư và phát triển kỹ thuật năng lượng VEC,Năng lượng
KH-0454,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ SAVIS VIỆT NAM,Công nghệ
KH-0455,Công ty cổ phần Vận tải & Dịch vụ Petrolimex Nghệ Tĩnh,Dịch vụ
KH-0456,Công ty TNHH May Mặc Excel Việt Nam,Sản xuất
KH-0457,CÔNG TY CỔ PHẦN TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Khác
KH-0458,TRƯỜNG QUỐC TẾ ĐA CẤP ANH VIỆT HOÀNG GIA (BVIS ROYAL),Khác
KH-0459,CÔNG TY TNHH DU LỊCH MẠO HIỂM XUYÊN Á,Dịch vụ
KH-0460,Công ty TNHH Thiết Bị Khoa Học Công Nghệ Mới,Công nghệ
KH-0461,Công ty Cổ Phần Máy Tính Nhật Mỹ,Công nghệ
KH-0462,Dự án phát triển hệ thống thông tin quản lý ngành Lâm nghiệp tại Việt Nam-Giai đoạn 2 (Formis II),Công nghệ
KH-0463,Công Ty TNHH Fruit of The Loom Việt Nam,Công nghệ
KH-0464,CÔNG TY TNHH TIN HỌC VIỄN THÔNG NHẤT TIẾN CHUNG,Công nghệ
KH-0465,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG,Công nghệ
KH-0466,CÔNG TY TNHH JFD VIỆT NAM,Khác
KH-0467,TRUNG TÂM ỨNG DỤNG CÔNG NGHỆ THÔNG TIN XÚC TIẾN THƯƠNG MẠI,Công nghệ
KH-0468,Công ty TNHH Công nghiệp Oriental Sports Việt Nam,Sản xuất
KH-0469,Công ty TNHH ACTIVE-SEMI Việt Nam,Khác
KH-0470,Công Ty CP Dịch Vụ Công Nghệ Sao Bắc Đẩu,Công nghệ
KH-0471,CÔNG TY CỔ PHẦN SSS VIỆT NAM,Khác
KH-0472,Công Ty TNHH Sự Lựa Chọn Vàng,Khác
KH-0473,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TIN HỌC TÍN THÀNH,Công nghệ
KH-0474,Công ty TNHH Yen Of LonDon,Khác
KH-0475,Công ty TNHH Sugiko Việt Nam,Khác
KH-0476,CHI NHÁNH CÔNG TY TNHH PHẦN MỀM FPT TẠI ĐÀ NẴNG,Công nghệ
KH-0477,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ FANXIPAN VIỆT NAM,Công nghệ
KH-0478,Chi nhánh công ty TNHH Shoei Việt Nam tại Bắc Ninh,Khác
KH-0479,Công ty TNHH Terumo Việt Nam,Khác
KH-0480,CÔNG TY TNHH CÔNG NGHỆ ẮC QUY HENG LI (VIỆT NAM),Công nghệ
KH-0481,CÔNG TY TNHH VSIP BẮC NINH,Khác
KH-0482,Công Ty Cổ Phần Hà Yến,Khác
KH-0483,Công Ty Cổ Phần Trò Chơi Hiker,Công nghệ
KH-0484,Văn phòng dự án Tổ chức TRAFFIC International tại Việt Nam,Khác
KH-0485,CÔNG TY CỔ PHẦN NHÂN LỰC QUỐC TẾ HRI,Dịch vụ
KH-0486,CỤC XÚC TIẾN THƯƠNG MẠI,Khác
KH-0487,CÔNG TY CỔ PHẦN HANACANS,Khác
KH-0488,QES (ASIA - PACIFIC) SDN BHD.,Khác
KH-0489,Công Ty TNHH Puretech Việt Nam,Công nghệ
KH-0490,Công ty TNHH MTV Cao Su Dầu Tiếng,Khác
KH-0491,Công ty TNHH PASONA TECH Việt Nam,Công nghệ
KH-0492,Công ty TNHH công nghiệp C.N.T,Sản xuất
KH-0493,Công Ty TNHH Honda Lock Việt Nam,Khác
KH-0494,Công ty TNHH Sungnam Knitting Mills,Công nghệ
KH-0495,CÔNG TY TNHH DAIN LEADERS VIỆT NAM,Công nghệ
KH-0496,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT,Dịch vụ
KH-0497,Công Ty Cổ Phần Careerbuilder,Công nghệ
KH-0498,"Ngân Hàng Citibank, N.A., Chi Nhánh Thành Phố Hồ Chí Minh",Công nghệ
KH-0499,CÔNG TY TNHH ĐIỆN TỬ TIN HỌC IT,Công nghệ
KH-0500,CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN KHAI THÁC CÔNG TRÌNH THỦY LỢI PHÚ THỌ,Công nghệ
KH-0501,Công ty TNHH Vật Tư Khoa Học Kỹ Thuật Đông Dương,Khác
KH-0502,Công Ty TNHH Thương Mại Dịch Vụ Kỹ Thuật G.P.L,Dịch vụ
KH-0503,VĂN PHÒNG TỈNH ỦY LÀO CAI,Công nghệ
KH-0504,Công Ty TNHH Công Nghệ Tin Học C.P,Công nghệ
KH-0505,CÔNG TY TNHH NOZOMI,Khác
KH-0506,Công ty TNHH Sài Gòn STEC,Khác
KH-0507,CÔNG TY TNHH NIPPON PAINT VIỆT NAM (HÀ NỘI),Công nghệ
KH-0508,Công ty Cổ phần LICOGI13- Nền móng xây dựng,Xây dựng
KH-0509,CÔNG TY TNHH EM-TECH VIỆT NAM,Công nghệ
KH-0510,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ DẦU KHÍ ĐÔNG HƯNG,Dịch vụ
KH-0511,CÔNG TY CỔ PHẦN THỰC PHẨM RICHY MIỀN BẮC,Sản xuất
KH-0512,Công ty TNHH Công nghệ Niềm Tin,Công nghệ
KH-0513,CÔNG TY CỔ PHẦN GIÀY ĐẠI LỘC,Khác
KH-0514,CÔNG TY TNHH HITACHI PLANT TECHNOLOGIES ( VIỆT NAM),Công nghệ
KH-0515,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ DỊCH VỤ NÔNG NGHIỆP VIỆT NAM,Dịch vụ
KH-0516,CÔNG TY TNHH SD GLOBAL VIỆT NAM,Khác
KH-0517,CÔNG TY TNHH TAKAHATA PRECISION VIỆT NAM,Khác
KH-0518,CÔNG TY CỔ PHẦN SẢN XUẤT HÀNG THỂ THAO,Sản xuất
KH-0519,CÔNG TY TNHH SCANDINAVIAN DESIGN VIỆT NAM,Dịch vụ
KH-0520,Công Ty TNHH Công Nghiệp Vĩnh Tường Miền Bắc Việt Nam,Sản xuất
KH-0521,CÔNG TY TNHH GIẢI PHÁP DG,Dịch vụ
KH-0522,CÔNG TY CỔ PHẦN SXKD XNK BÌNH THẠNH,Khác
KH-0523,CTY JFE ENGINEERING CORPORATION – NTC THCV THI CÔNG & HT CÁC HM LQ ĐẾN GT “CP-2: NM XỬ LÝ NƯỚC THẢI”,Xây dựng
KH-0524,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN SAIGONTEL,Công nghệ
KH-0525,Công Ty Cổ Phần Phát Triển Đô Thị Quốc Tế Việt Nam,Khác
KH-0526,CÔNG TY TNHH DỆT VÀ NHUỘM HƯNG YÊN,Khác
KH-0527,TRUNG TÂM ĐÀO TẠO VÀ NÂNG CAO NĂNG LỰC PHỤ NỮ,Dịch vụ
KH-0528,CÔNG TY CỔ PHẦN CÔNG NGHỆ OCG,Công nghệ
KH-0529,Công Ty Cổ Phần Nhiệt Điện Vũng Áng II (Vapco),Năng lượng
KH-0530,CÔNG TY TNHH TM&DV VĨNH CƯỜNG,Khác
KH-0531,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ VIỆT,Công nghệ
KH-0532,CONG TY TNHH MICHELLE,Khác
KH-0533,Công ty TNHH MT Hojgaard Việt Nam,Công nghệ
KH-0534,Công ty TNHH Technova,Công nghệ
KH-0535,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT MOBIFONE,Dịch vụ
KH-0536,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI PHÚ QUANG HƯNG,Xây dựng
KH-0537,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG VĨNH PHÚC,Sản xuất
KH-0538,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM,Công nghệ
KH-0539,CÔNG TY TNHH BUSINESS CONSULTANTS VIỆT NAM,Khác
KH-0540,Công ty Cổ phần INNOTEK,Khác
KH-0541,CÔNG TY CỔ PHẦN FPS VIỆT NAM,Khác
KH-0542,CÔNG TY TNHH TƯ VẤN VÀ ĐẦU TƯ TIÊN PHONG QUỐC TẾ VIỆT NAM,Dịch vụ
KH-0543,CÔNG TY TNHH ENS FOAM,Khác
KH-0544,CÔNG TY TNHH INSPECTORIO VIỆT NAM,Khác
KH-0545,CHI NHÁNH CÔNG TY CỔ PHẦN FOODY TẠI HÀ NỘI,Khác
KH-0546,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VẠN LỘC,Công nghệ
KH-0547,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Khác
KH-0548,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO THÀNH NAM,Dịch vụ
KH-0549,CÔNG TY TRÁCH NHIỆM HỮU HẠN VÂN LONG,Khác
KH-0550,CÔNG TY TNHH TƯ VẤN COUTURE VIỆT NAM,Dịch vụ
KH-0551,CÔNG TY CỔ PHẦN NƯỚC GIẢI KHÁT SANEST KHÁNH HÒA,Khác
KH-0552,CÔNG TY CỔ PHẦN ĐẠI ĐỒNG TIẾN,Khác
KH-0553,Công ty CP Truyền thông và Công nghệ A1,Công nghệ
KH-0554,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG,Sản xuất
KH-0555,CÔNG TY TNHH KỸ THUẬT VÀ THƯƠNG MẠI VIỆT Á,Khác
KH-0556,CÔNG TY CỔ PHẦN CÔNG NGHỆ TAM PHÚ,Công nghệ
KH-0557,Công ty TNHH Tư vấn Quản lý MCG,Dịch vụ
KH-0558,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HC TOÀN CẦU,Công nghệ
KH-0559,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HƯNG PHÁT,Khác
KH-0560,Công ty TNHH Thakral One,Khác
KH-0561,Công ty TNHH Phần mềm CADCAM,Công nghệ
KH-0562,CN Công ty TNHH Nhà nước MTV Thương mại và XNK VIETTEL-Trung tâm phân phối,Năng lượng
KH-0563,CÔNG TY TNHH EL DORADO VIỆT NAM,Khác
KH-0564,Công Ty TNHH Phần mềm Tin Học Điện Tử Tích Hợp,Công nghệ
KH-0565,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ TRẦN ANH,Khác
KH-0566,Công ty Cổ phần Quảng cáo Mai Cát Tường,Công nghệ
KH-0567,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH VIT HẠ LONG,Công nghệ
KH-0568,Công ty TNHH Phân Phối SNB,Năng lượng
KH-0569,Chi Nhánh Công Ty TNHH Yen Of London,Khác
KH-0570,Công ty TNHH BX Bunka Việt Nam,Khác
KH-0571,CÔNG TY TNHH THIẾT BỊ KỸ THUẬT TUẤN THỊNH,Sản xuất
KH-0572,CÔNG TY TNHH CNC VINA,Khác
KH-0573,Công ty TNHH GoerTek Vina,Khác
KH-0574,CÔNG TY TNHH WELLBE VIỆT NAM,Khác
KH-0575,CÔNG TY TNHH YOON IL VIỆT NAM,Khác
KH-0576,TRUNG TÂM TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG,Dịch vụ
KH-0577,Viện Khoa Học và Kỹ Thuật Hạt Nhân,Năng lượng
KH-0578,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG,Khác
KH-0579,CÔNG TY TNHH VIỆT NAM TOYO DENSO,Khác
KH-0580,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,Khác
KH-0581,CÔNG TY CỔ PHẦN KORIHOME VIỆT NAM,Khác
KH-0582,NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN XUÂN LỘC ĐỒNG NAI,Công nghệ
KH-0583,CÔNG TY TNHH MAZARS VIỆT NAM,Công nghệ
KH-0584,CÔNG TY CỔ PHẦN SẢN XUẤT KINH DOANH DƯỢC VÀ TRANG THIẾT BỊ Y TẾ VIỆT MỸ,Dịch vụ
KH-0585,Công ty TNHH Đầu Tư thương mại Dung Hòa,Khác
KH-0586,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÁT TRIỂN HẢI TRUNG,Dịch vụ
KH-0587,CÔNG TY CỔ PHẦN JIVC,Khác
KH-0588,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ CÔNG NGHỆ ANH EM,Công nghệ
KH-0589,CÔNG TY TNHH UTI VINA,Khác
KH-0590,Trường THPT Nguyễn Văn Linh,Khác
KH-0591,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH – CÔNG TY TNHH HASHIMA VIỆT NAM,Khác
KH-0592,CÔNG TY CỔ PHẦN HẠ TẦNG ĐÔNG Á,Công nghệ
KH-0593,Công Ty TNHH Hệ Thống Thông Tin Fpt,Công nghệ
KH-0594,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VÀ TRUYỀN THÔNG VICTORY VIỆT NAM,Công nghệ
KH-0595,"Co-well Co., Ltd",Khác
KH-0596,CÔNG TY TNHH HWATA VIỆT NAM,Khác
KH-0597,CÔNG TY TNHH YOUNGJIN HI - TECH VINA,Công nghệ
KH-0598,CÔNG TY PHẦN MỀM VNPT- CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công nghệ
KH-0599,Công ty TNHH thương mại và dịch vụ Thông Thiên,Dịch vụ
