Ngày hạch toán,Tháng,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh,,Chi nhánh,
4/7/2024,4,ĐH4640096,KH-0344,P-124,10,14115000,141150000,94100000,NV128,CN HCM,,,
4/7/2024,4,ĐH5460740,KH-0697,P-757,2,720000,1440000,960000,NV066,CN HCM,,,
4/7/2024,4,ĐH2500071,KH-0683,P-675,2,195000,390000,260000,NV211,CN HCM,,,
4/7/2024,4,ĐH3628424,KH-0307,P-250,2,46350000,92700000,61800000,NV080,CN HCM,,,
4/7/2024,4,ĐH3972544,KH-0719,P-587,5,1800000,9000000,6000000,NV042,CN HCM,,,
4/7/2024,4,ĐH8208086,KH-0689,P-446,1,13650000,13650000,9100000,NV014,CN HCM,,,
4/7/2024,4,ĐH4864043,KH-0041,P-283,10,118770000,1187700000,791800000,NV148,CN HCM,,,
4/8/2024,4,ĐH7966865,KH-0036,P-462,5,4500000,22500000,15000000,NV172,CN HCM,,,
4/8/2024,4,ĐH8356802,KH-0376,P-290,4,1425000,5700000,3800000,NV043,CN HCM,,,
4/8/2024,4,ĐH9952487,KH-0738,P-145,6,26010000,156060000,104040000,NV164,CN HCM,,,
4/8/2024,4,ĐH8600113,KH-0530,P-336,3,8685000,26055000,17370000,NV013,CN HCM,,,
4/9/2024,4,ĐH2140640,KH-0443,P-798,7,4680000,32760000,21840000,NV100,CN HCM,,,
4/9/2024,4,ĐH4509333,KH-0752,P-054,3,300000,900000,600000,NV136,CN HCM,,,
4/9/2024,4,ĐH3590327,KH-0005,P-473,3,19425000,58275000,38850000,NV235,CN HCM,,,
4/9/2024,4,ĐH5981877,KH-0532,P-217,3,3420000,10260000,6840000,NV199,CN HCM,,,
4/9/2024,4,ĐH2636933,KH-0065,P-166,4,14535000,58140000,38760000,NV046,CN HCM,,,
4/9/2024,4,ĐH8473383,KH-0498,P-776,8,2685000,21480000,14320000,NV050,CN HCM,,,
4/10/2024,4,ĐH1228054,KH-0694,P-753,2,450000,900000,600000,NV192,CN HCM,,,
4/10/2024,4,ĐH9039137,KH-0314,P-675,7,195000,1365000,910000,NV155,CN HCM,,,
4/10/2024,4,ĐH3824696,KH-0720,P-216,10,1275000,12750000,8500000,NV209,CN HCM,,,
4/10/2024,4,ĐH4226958,KH-0465,P-423,1,4440000,4440000,2960000,NV190,CN HCM,,,
4/10/2024,4,ĐH9227793,KH-0584,P-780,7,60570000,423990000,282660000,NV058,CN HCM,,,
4/10/2024,4,ĐH1893401,KH-0698,P-182,8,4305000,34440000,22960000,NV062,CN HCM,,,
4/10/2024,4,ĐH2104353,KH-0282,P-783,3,11445000,34335000,22890000,NV193,CN HCM,,,
4/10/2024,4,ĐH7050054,KH-0786,P-303,2,77040000,154080000,102720000,NV163,CN HCM,,,
4/10/2024,4,ĐH9196837,KH-0282,P-355,10,67860000,678600000,452400000,NV214,CN HCM,,,
4/10/2024,4,ĐH8718268,KH-0177,P-233,4,67860000,271440000,180960000,NV055,CN HCM,,,
4/10/2024,4,ĐH6532405,KH-0047,P-682,1,1335000,1335000,890000,NV181,CN HCM,,,
4/10/2024,4,ĐH3146528,KH-0241,P-637,10,105000,1050000,700000,NV173,CN HCM,,,
4/10/2024,4,ĐH4116695,KH-0266,P-519,9,18135000,163215000,108810000,NV104,CN HCM,,,
4/10/2024,4,ĐH6099009,KH-0133,P-233,8,67860000,542880000,361920000,NV040,CN HCM,,,
4/10/2024,4,ĐH9453312,KH-0631,P-735,5,16500000,82500000,55000000,NV163,CN HCM,,,
4/11/2024,4,ĐH1722307,KH-0558,P-452,1,25875000,25875000,17250000,NV208,CN HCM,,,
4/11/2024,4,ĐH1294740,KH-0767,P-453,8,9885000,79080000,52720000,NV143,CN HCM,,,
4/11/2024,4,ĐH8100756,KH-0144,P-106,10,27030000,270300000,180200000,NV210,CN HCM,,,
4/11/2024,4,ĐH7861353,KH-0030,P-684,3,375000,1125000,750000,NV060,CN HCM,,,
4/11/2024,4,ĐH6620668,KH-0147,P-201,1,4680000,4680000,3120000,NV123,CN HCM,,,
4/11/2024,4,ĐH9294962,KH-0398,P-471,9,1845000,16605000,11070000,NV176,CN HCM,,,
4/11/2024,4,ĐH9778395,KH-0281,P-529,6,2625000,15750000,10500000,NV091,CN HCM,,,
4/11/2024,4,ĐH6575661,KH-0661,P-483,5,2145000,10725000,7150000,NV092,CN HCM,,,
4/11/2024,4,ĐH9941560,KH-0394,P-524,1,1335000,1335000,890000,NV064,CN HCM,,,
4/11/2024,4,ĐH6110085,KH-0550,P-427,9,106755000,960795000,640530000,NV052,CN HCM,,,
4/12/2024,4,ĐH5094670,KH-0209,P-704,1,480000,480000,320000,NV066,CN HCM,,,
4/12/2024,4,ĐH8094374,KH-0087,P-002,1,41190000,41190000,27460000,NV189,CN HCM,,,
4/12/2024,4,ĐH1591821,KH-0746,P-325,4,1725000,6900000,4600000,NV121,CN HCM,,,
4/12/2024,4,ĐH8248372,KH-0625,P-639,7,5625000,39375000,26250000,NV121,CN HCM,,,
4/12/2024,4,ĐH5293344,KH-0395,P-557,9,8880000,79920000,53280000,NV112,CN HCM,,,
4/13/2024,4,ĐH1642023,KH-0321,P-310,1,5520000,5520000,3680000,NV189,CN HCM,,,
4/13/2024,4,ĐH6278889,KH-0599,P-289,2,1350000,2700000,1800000,NV202,CN HCM,,,
4/13/2024,4,ĐH7858792,KH-0356,P-787,8,5790000,46320000,30880000,NV072,CN HCM,,,
4/13/2024,4,ĐH7608589,KH-0506,P-561,9,8460000,76140000,50760000,NV194,CN HCM,,,
4/13/2024,4,ĐH5225210,KH-0366,P-160,4,288150000,1152600000,768400000,NV188,CN HCM,,,
4/13/2024,4,ĐH3677062,KH-0505,P-017,9,3960000,35640000,23760000,NV243,CN HCM,,,
4/13/2024,4,ĐH8326383,KH-0248,P-706,8,7440000,59520000,39680000,NV155,CN HCM,,,
4/13/2024,4,ĐH3104201,KH-0576,P-541,6,21180000,127080000,84720000,NV095,CN HCM,,,
4/13/2024,4,ĐH9842777,KH-0580,P-063,10,11520000,115200000,76800000,NV002,CN HCM,,,
4/13/2024,4,ĐH5589620,KH-0352,P-783,5,11445000,57225000,38150000,NV028,CN HCM,,,
4/13/2024,4,ĐH8682720,KH-0470,P-118,5,1770000,8850000,5900000,NV051,CN HCM,,,
4/13/2024,4,ĐH3498391,KH-0498,P-551,1,2610000,2610000,1740000,NV240,CN HCM,,,
4/14/2024,4,ĐH2373991,KH-0358,P-639,2,5625000,11250000,7500000,NV052,CN HCM,,,
4/14/2024,4,ĐH3624473,KH-0221,P-438,4,29160000,116640000,77760000,NV159,CN HCM,,,
4/14/2024,4,ĐH8113354,KH-0626,P-225,9,2415000,21735000,14490000,NV097,CN HCM,,,
4/14/2024,4,ĐH7827802,KH-0201,P-029,6,5385000,32310000,21540000,NV212,CN HCM,,,
4/14/2024,4,ĐH6574952,KH-0498,P-057,3,9645000,28935000,19290000,NV130,CN HCM,,,
4/14/2024,4,ĐH9990646,KH-0726,P-370,2,22530000,45060000,30040000,NV100,CN HCM,,,
4/14/2024,4,ĐH4739740,KH-0592,P-646,3,150000,450000,300000,NV053,CN HCM,,,
4/14/2024,4,ĐH6605780,KH-0279,P-347,6,39420000,236520000,157680000,NV222,CN HCM,,,
4/14/2024,4,ĐH1266437,KH-0020,P-557,8,8880000,71040000,47360000,NV025,CN HCM,,,
4/15/2024,4,ĐH8908241,KH-0297,P-384,10,1755000,17550000,11700000,NV055,CN HCM,,,
4/15/2024,4,ĐH2136758,KH-0644,P-584,5,1155000,5775000,3850000,NV072,CN HCM,,,
4/15/2024,4,ĐH1047029,KH-0048,P-463,1,27450000,27450000,18300000,NV147,CN HCM,,,
4/15/2024,4,ĐH4372722,KH-0776,P-153,2,240405000,480810000,320540000,NV232,CN HCM,,,
4/15/2024,4,ĐH6460994,KH-0291,P-125,9,6660000,59940000,39960000,NV062,CN HCM,,,
4/15/2024,4,ĐH8917487,KH-0714,P-747,6,1905000,11430000,7620000,NV023,CN HCM,,,
4/15/2024,4,ĐH8569397,KH-0264,P-659,3,299445000,898335000,598890000,NV021,CN HCM,,,
4/15/2024,4,ĐH8450556,KH-0146,P-178,7,47445000,332115000,221410000,NV184,CN HCM,,,
4/15/2024,4,ĐH2015232,KH-0303,P-316,9,19260000,173340000,115560000,NV001,CN HCM,,,
4/16/2024,4,ĐH5325260,KH-0546,P-271,4,3915000,15660000,10440000,NV211,CN HCM,,,
4/16/2024,4,ĐH1060196,KH-0192,P-427,8,106755000,854040000,569360000,NV183,CN HCM,,,
4/16/2024,4,ĐH8204362,KH-0117,P-030,9,5250000,47250000,31500000,NV154,CN HCM,,,
4/16/2024,4,ĐH6187402,KH-0548,P-133,5,2865000,14325000,9550000,NV155,CN HCM,,,
4/16/2024,4,ĐH8721008,KH-0334,P-524,9,1335000,12015000,8010000,NV025,CN HCM,,,
4/16/2024,4,ĐH9489493,KH-0494,P-628,3,255000,765000,510000,NV228,CN HCM,,,
4/17/2024,4,ĐH1296913,KH-0683,P-584,9,1155000,10395000,6930000,NV062,CN HCM,,,
4/17/2024,4,ĐH9953146,KH-0396,P-224,6,1335000,8010000,5340000,NV135,CN HCM,,,
4/17/2024,4,ĐH9189737,KH-0361,P-737,8,240000,1920000,1280000,NV242,CN HCM,,,
4/17/2024,4,ĐH5759842,KH-0195,P-021,9,17700000,159300000,106200000,NV018,CN HCM,,,
4/17/2024,4,ĐH9001650,KH-0417,P-134,6,9105000,54630000,36420000,NV196,CN HCM,,,
4/17/2024,4,ĐH1478259,KH-0190,P-348,6,58995000,353970000,235980000,NV123,CN HCM,,,
4/17/2024,4,ĐH8873462,KH-0664,P-388,10,6150000,61500000,41000000,NV099,CN HCM,,,
4/17/2024,4,ĐH5423328,KH-0762,P-692,7,390000,2730000,1820000,NV041,CN HCM,,,
4/18/2024,4,ĐH3068171,KH-0786,P-393,1,19275000,19275000,12850000,NV200,CN HCM,,,
4/18/2024,4,ĐH2821149,KH-0669,P-515,8,5610000,44880000,29920000,NV035,CN HCM,,,
4/18/2024,4,ĐH5881068,KH-0102,P-374,3,8100000,24300000,16200000,NV202,CN HCM,,,
4/18/2024,4,ĐH6967861,KH-0353,P-718,4,1170000,4680000,3120000,NV157,CN HCM,,,
4/18/2024,4,ĐH4205535,KH-0701,P-666,4,2070000,8280000,5520000,NV242,CN HCM,,,
4/19/2024,4,ĐH2750765,KH-0541,P-509,2,720000,1440000,960000,NV068,CN HCM,,,
4/19/2024,4,ĐH3592231,KH-0670,P-678,4,285000,1140000,760000,NV047,CN HCM,,,
4/19/2024,4,ĐH2347868,KH-0359,P-427,9,106755000,960795000,640530000,NV183,CN HCM,,,
4/19/2024,4,ĐH4598118,KH-0070,P-207,8,4410000,35280000,23520000,NV108,CN HCM,,,
4/19/2024,4,ĐH1392071,KH-0137,P-367,6,145080000,870480000,580320000,NV148,CN HCM,,,
4/19/2024,4,ĐH6688207,KH-0679,P-569,4,510000,2040000,1360000,NV014,CN HCM,,,
4/19/2024,4,ĐH2308178,KH-0560,P-413,1,42945000,42945000,28630000,NV073,CN HCM,,,
4/19/2024,4,ĐH8840537,KH-0556,P-605,8,2040000,16320000,10880000,NV082,CN HCM,,,
4/19/2024,4,ĐH8919561,KH-0043,P-688,7,450000,3150000,2100000,NV022,CN HCM,,,
4/20/2024,4,ĐH4448181,KH-0003,P-513,5,975000,4875000,3250000,NV076,CN HCM,,,
4/20/2024,4,ĐH5263196,KH-0576,P-799,7,105000,735000,490000,NV074,CN HCM,,,
4/20/2024,4,ĐH8874414,KH-0420,P-155,7,199425000,1395975000,930650000,NV041,CN HCM,,,
4/20/2024,4,ĐH2129273,KH-0525,P-500,4,1470000,5880000,3920000,NV133,CN HCM,,,
4/20/2024,4,ĐH2853035,KH-0443,P-128,3,3885000,11655000,7770000,NV235,CN HCM,,,
4/20/2024,4,ĐH7196819,KH-0010,P-710,6,2535000,15210000,10140000,NV015,CN HCM,,,
4/20/2024,4,ĐH5121415,KH-0089,P-633,7,375000,2625000,1750000,NV026,CN HCM,,,
4/20/2024,4,ĐH7800390,KH-0314,P-590,7,7800000,54600000,36400000,NV022,CN HCM,,,
4/20/2024,4,ĐH9705101,KH-0556,P-651,2,870000,1740000,1160000,NV159,CN HCM,,,
4/20/2024,4,ĐH2884654,KH-0011,P-532,2,585000,1170000,780000,NV201,CN HCM,,,
4/20/2024,4,ĐH9117045,KH-0125,P-468,1,18720000,18720000,12480000,NV087,CN HCM,,,
4/21/2024,4,ĐH7643914,KH-0287,P-257,5,45840000,229200000,152800000,NV204,CN HCM,,,
4/21/2024,4,ĐH8562793,KH-0084,P-617,4,4110000,16440000,10960000,NV209,CN HCM,,,
4/21/2024,4,ĐH5766799,KH-0713,P-406,9,8310000,74790000,49860000,NV225,CN HCM,,,
4/21/2024,4,ĐH5663050,KH-0765,P-509,8,720000,5760000,3840000,NV210,CN HCM,,,
4/21/2024,4,ĐH2042156,KH-0489,P-401,4,285000,1140000,760000,NV026,CN HCM,,,
4/21/2024,4,ĐH2078544,KH-0633,P-572,2,24315000,48630000,32420000,NV198,CN HCM,,,
4/21/2024,4,ĐH9577209,KH-0164,P-616,6,555000,3330000,2220000,NV241,CN HCM,,,
4/21/2024,4,ĐH7764244,KH-0152,P-301,5,18090000,90450000,60300000,NV215,CN HCM,,,
4/21/2024,4,ĐH5810790,KH-0433,P-514,2,73545000,147090000,98060000,NV043,CN HCM,,,
4/21/2024,4,ĐH3694215,KH-0385,P-643,1,585000,585000,390000,NV139,CN HCM,,,
4/21/2024,4,ĐH2926404,KH-0472,P-326,6,375000,2250000,1500000,NV141,CN HCM,,,
4/21/2024,4,ĐH7231497,KH-0194,P-022,4,2865000,11460000,7640000,NV232,CN HCM,,,
4/21/2024,4,ĐH4505637,KH-0450,P-264,3,5265000,15795000,10530000,NV150,CN HCM,,,
4/22/2024,4,ĐH4795125,KH-0408,P-007,8,8100000,64800000,43200000,NV169,CN HCM,,,
4/22/2024,4,ĐH1255353,KH-0066,P-751,9,30000,270000,180000,NV118,CN HCM,,,
4/22/2024,4,ĐH2653672,KH-0462,P-769,8,345000,2760000,1840000,NV132,CN HCM,,,
4/22/2024,4,ĐH2389785,KH-0704,P-168,3,18000000,54000000,36000000,NV200,CN HCM,,,
4/22/2024,4,ĐH8223449,KH-0177,P-217,8,3420000,27360000,18240000,NV093,CN HCM,,,
4/22/2024,4,ĐH1875072,KH-0534,P-542,7,240000,1680000,1120000,NV018,CN HCM,,,
4/22/2024,4,ĐH5607157,KH-0258,P-680,1,4920000,4920000,3280000,NV037,CN HCM,,,
4/22/2024,4,ĐH3293236,KH-0069,P-391,5,49875000,249375000,166250000,NV139,CN HCM,,,
4/23/2024,4,ĐH3807228,KH-0378,P-500,7,1470000,10290000,6860000,NV193,CN HCM,,,
4/23/2024,4,ĐH4997770,KH-0220,P-281,3,24540000,73620000,49080000,NV021,CN HCM,,,
4/23/2024,4,ĐH1122122,KH-0730,P-720,8,4215000,33720000,22480000,NV181,CN HCM,,,
4/23/2024,4,ĐH6975883,KH-0214,P-755,4,615000,2460000,1640000,NV037,CN HCM,,,
4/23/2024,4,ĐH2809825,KH-0039,P-108,6,29580000,177480000,118320000,NV063,CN HCM,,,
4/23/2024,4,ĐH4060061,KH-0278,P-793,1,9390000,9390000,6260000,NV236,CN HCM,,,
4/23/2024,4,ĐH6408678,KH-0356,P-136,2,2805000,5610000,3740000,NV087,CN HCM,,,
4/24/2024,4,ĐH3276156,KH-0141,P-516,7,10545000,73815000,49210000,NV200,CN HCM,,,
4/24/2024,4,ĐH6309016,KH-0365,P-212,7,1230000,8610000,5740000,NV193,CN HCM,,,
4/24/2024,4,ĐH8579123,KH-0379,P-205,3,19800000,59400000,39600000,NV122,CN HCM,,,
4/24/2024,4,ĐH2675211,KH-0126,P-340,1,255000,255000,170000,NV081,CN HCM,,,
4/24/2024,4,ĐH6871422,KH-0497,P-413,8,42945000,343560000,229040000,NV186,CN HCM,,,
4/24/2024,4,ĐH7153458,KH-0089,P-355,9,67860000,610740000,407160000,NV220,CN HCM,,,
4/24/2024,4,ĐH8763752,KH-0267,P-556,9,7410000,66690000,44460000,NV093,CN HCM,,,
4/24/2024,4,ĐH3674389,KH-0233,P-347,8,39420000,315360000,210240000,NV191,CN HCM,,,
4/24/2024,4,ĐH8483524,KH-0314,P-210,2,1695000,3390000,2260000,NV111,CN HCM,,,
4/25/2024,4,ĐH3978909,KH-0652,P-484,5,915000,4575000,3050000,NV202,CN HCM,,,
4/25/2024,4,ĐH5874220,KH-0308,P-130,9,11445000,103005000,68670000,NV117,CN HCM,,,
4/25/2024,4,ĐH6279067,KH-0167,P-259,4,195000,780000,520000,NV121,CN HCM,,,
4/25/2024,4,ĐH6215133,KH-0265,P-754,5,435000,2175000,1450000,NV079,CN HCM,,,
4/25/2024,4,ĐH6868383,KH-0433,P-294,7,75000,525000,350000,NV208,CN HCM,,,
4/25/2024,4,ĐH6437552,KH-0046,P-122,7,2775000,19425000,12950000,NV204,CN HCM,,,
4/25/2024,4,ĐH4282216,KH-0531,P-445,1,3420000,3420000,2280000,NV051,CN HCM,,,
4/25/2024,4,ĐH1952604,KH-0117,P-403,7,105000,735000,490000,NV139,CN HCM,,,
4/25/2024,4,ĐH3613767,KH-0354,P-433,2,30345000,60690000,40460000,NV053,CN HCM,,,
4/25/2024,4,ĐH1887154,KH-0672,P-689,1,5925000,5925000,3950000,NV219,CN HCM,,,
4/25/2024,4,ĐH1760992,KH-0152,P-695,7,300000,2100000,1400000,NV016,CN HCM,,,
4/25/2024,4,ĐH8097506,KH-0017,P-757,8,720000,5760000,3840000,NV097,CN HCM,,,
4/26/2024,4,ĐH6644069,KH-0451,P-005,5,5550000,27750000,18500000,NV128,CN HCM,,,
4/26/2024,4,ĐH6203046,KH-0257,P-690,2,6915000,13830000,9220000,NV185,CN HCM,,,
4/26/2024,4,ĐH1058779,KH-0574,P-686,9,660000,5940000,3960000,NV128,CN HCM,,,
4/26/2024,4,ĐH3749271,KH-0435,P-366,1,480000,480000,320000,NV043,CN HCM,,,
4/26/2024,4,ĐH9602638,KH-0591,P-610,6,42180000,253080000,168720000,NV218,CN HCM,,,
4/26/2024,4,ĐH1984404,KH-0132,P-247,2,14820000,29640000,19760000,NV091,CN HCM,,,
4/26/2024,4,ĐH7336955,KH-0627,P-598,7,675000,4725000,3150000,NV049,CN HCM,,,
4/27/2024,4,ĐH8316643,KH-0326,P-047,2,12705000,25410000,16940000,NV136,CN HCM,,,
4/27/2024,4,ĐH8437559,KH-0513,P-772,2,1920000,3840000,2560000,NV091,CN HCM,,,
4/27/2024,4,ĐH3229962,KH-0018,P-206,2,780000,1560000,1040000,NV241,CN HCM,,,
4/27/2024,4,ĐH3540224,KH-0629,P-246,9,6090000,54810000,36540000,NV009,CN HCM,,,
4/27/2024,4,ĐH4472908,KH-0709,P-518,3,6240000,18720000,12480000,NV127,CN HCM,,,
4/27/2024,4,ĐH2915746,KH-0557,P-456,5,8160000,40800000,27200000,NV102,CN HCM,,,
4/27/2024,4,ĐH2024458,KH-0218,P-016,4,7050000,28200000,18800000,NV045,CN HCM,,,
4/27/2024,4,ĐH7780182,KH-0744,P-663,3,25890000,77670000,51780000,NV196,CN HCM,,,
4/28/2024,4,ĐH1484944,KH-0139,P-441,1,4080000,4080000,2720000,NV089,CN HCM,,,
4/28/2024,4,ĐH7843647,KH-0133,P-139,5,2865000,14325000,9550000,NV117,CN HCM,,,
4/28/2024,4,ĐH1000658,KH-0498,P-413,5,42945000,214725000,143150000,NV209,CN HCM,,,
4/28/2024,4,ĐH4133809,KH-0716,P-249,4,1635000,6540000,4360000,NV163,CN HCM,,,
4/28/2024,4,ĐH8913115,KH-0534,P-071,10,795000,7950000,5300000,NV103,CN HCM,,,
4/28/2024,4,ĐH2496312,KH-0695,P-079,5,7530000,37650000,25100000,NV064,CN HCM,,,
4/28/2024,4,ĐH4051575,KH-0157,P-755,10,615000,6150000,4100000,NV008,CN HCM,,,
4/28/2024,4,ĐH9710842,KH-0078,P-123,1,9495000,9495000,6330000,NV022,CN HCM,,,
4/28/2024,4,ĐH9267459,KH-0149,P-768,3,1425000,4275000,2850000,NV200,CN HCM,,,
4/28/2024,4,ĐH5390145,KH-0377,P-117,5,14475000,72375000,48250000,NV151,CN HCM,,,
4/29/2024,4,ĐH4586491,KH-0590,P-385,3,4275000,12825000,8550000,NV159,CN HCM,,,
4/29/2024,4,ĐH6911671,KH-0514,P-090,5,3585000,17925000,11950000,NV045,CN HCM,,,
4/29/2024,4,ĐH9127754,KH-0624,P-775,9,225000,2025000,1350000,NV112,CN HCM,,,
4/29/2024,4,ĐH2071252,KH-0031,P-291,1,1230000,1230000,820000,NV200,CN HCM,,,
4/29/2024,4,ĐH5841584,KH-0264,P-200,9,7665000,68985000,45990000,NV034,CN HCM,,,
4/29/2024,4,ĐH5952521,KH-0574,P-471,6,1845000,11070000,7380000,NV216,CN HCM,,,
4/30/2024,4,ĐH1710124,KH-0669,P-692,6,390000,2340000,1560000,NV142,CN HCM,,,
4/30/2024,4,ĐH6568349,KH-0119,P-031,1,1050000,1050000,700000,NV221,CN HCM,,,
4/30/2024,4,ĐH1727420,KH-0100,P-718,8,1170000,9360000,6240000,NV030,CN HCM,,,
4/30/2024,4,ĐH9114276,KH-0279,P-174,8,18240000,145920000,97280000,NV116,CN HCM,,,
4/30/2024,4,ĐH3888032,KH-0357,P-527,6,44265000,265590000,177060000,NV030,CN HCM,,,
5/1/2024,5,ĐH8163657,KH-0500,P-113,1,67380000,67380000,44920000,NV215,CN HCM,,,
5/1/2024,5,ĐH8025126,KH-0694,P-069,1,1305000,1305000,870000,NV217,CN HCM,,,
5/1/2024,5,ĐH7025530,KH-0556,P-266,7,1575000,11025000,7350000,NV071,CN HCM,,,
5/1/2024,5,ĐH3725506,KH-0347,P-239,8,25635000,205080000,136720000,NV084,CN HCM,,,
5/1/2024,5,ĐH4908325,KH-0283,P-600,6,3045000,18270000,12180000,NV169,CN HCM,,,
5/1/2024,5,ĐH3061709,KH-0328,P-086,1,2445000,2445000,1630000,NV162,CN HCM,,,
5/1/2024,5,ĐH2454983,KH-0543,P-630,6,1905000,11430000,7620000,NV205,CN HCM,,,
5/1/2024,5,ĐH9652740,KH-0053,P-100,10,16035000,160350000,106900000,NV214,CN HCM,,,
5/1/2024,5,ĐH3129919,KH-0281,P-461,3,3675000,11025000,7350000,NV041,CN HCM,,,
5/1/2024,5,ĐH8991323,KH-0665,P-131,6,7170000,43020000,28680000,NV085,CN HCM,,,
5/1/2024,5,ĐH9614208,KH-0531,P-232,4,1650000,6600000,4400000,NV145,CN HCM,,,
5/2/2024,5,ĐH7768812,KH-0236,P-552,9,56925000,512325000,341550000,NV052,CN HCM,,,
5/2/2024,5,ĐH3823499,KH-0135,P-232,4,1650000,6600000,4400000,NV071,CN HCM,,,
5/2/2024,5,ĐH9090805,KH-0293,P-492,8,16635000,133080000,88720000,NV094,CN HCM,,,
5/2/2024,5,ĐH1229531,KH-0460,P-798,4,4680000,18720000,12480000,NV216,CN HCM,,,
5/2/2024,5,ĐH1016516,KH-0054,P-554,5,6120000,30600000,20400000,NV215,CN HCM,,,
5/2/2024,5,ĐH6431502,KH-0151,P-191,4,3555000,14220000,9480000,NV175,CN HCM,,,
5/2/2024,5,ĐH3863856,KH-0558,P-541,3,21180000,63540000,42360000,NV007,CN HCM,,,
5/2/2024,5,ĐH6560905,KH-0351,P-393,3,19275000,57825000,38550000,NV174,CN HCM,,,
5/2/2024,5,ĐH9532737,KH-0539,P-046,6,17055000,102330000,68220000,NV151,CN HCM,,,
5/2/2024,5,ĐH1644976,KH-0168,P-372,6,60720000,364320000,242880000,NV095,CN HCM,,,
5/3/2024,5,ĐH5358257,KH-0683,P-353,3,3750000,11250000,7500000,NV043,CN HCM,,,
5/3/2024,5,ĐH1239098,KH-0123,P-681,3,1650000,4950000,3300000,NV088,CN HCM,,,
5/3/2024,5,ĐH2554848,KH-0380,P-640,2,33375000,66750000,44500000,NV093,CN HCM,,,
5/3/2024,5,ĐH2654942,KH-0450,P-642,9,420000,3780000,2520000,NV119,CN HCM,,,
5/3/2024,5,ĐH9169431,KH-0402,P-609,9,330000,2970000,1980000,NV016,CN HCM,,,
5/3/2024,5,ĐH4505121,KH-0127,P-220,6,160875000,965250000,643500000,NV208,CN HCM,,,
5/3/2024,5,ĐH3352512,KH-0160,P-659,6,299445000,1796670000,1197780000,NV237,CN HCM,,,
5/3/2024,5,ĐH7674656,KH-0109,P-347,5,39420000,197100000,131400000,NV190,CN HCM,,,
5/4/2024,5,ĐH4926868,KH-0634,P-088,7,2430000,17010000,11340000,NV028,CN HCM,,,
5/4/2024,5,ĐH2689734,KH-0381,P-240,2,25110000,50220000,33480000,NV129,CN HCM,,,
5/4/2024,5,ĐH9821435,KH-0520,P-651,8,870000,6960000,4640000,NV012,CN HCM,,,
5/4/2024,5,ĐH8972442,KH-0761,P-073,8,9795000,78360000,52240000,NV117,CN HCM,,,
5/4/2024,5,ĐH4370019,KH-0599,P-767,7,825000,5775000,3850000,NV224,CN HCM,,,
5/4/2024,5,ĐH4883329,KH-0267,P-581,6,34605000,207630000,138420000,NV081,CN HCM,,,
5/5/2024,5,ĐH2358793,KH-0678,P-033,5,16650000,83250000,55500000,NV201,CN HCM,,,
5/5/2024,5,ĐH8786304,KH-0421,P-753,7,450000,3150000,2100000,NV084,CN HCM,,,
5/5/2024,5,ĐH8871875,KH-0345,P-439,7,4005000,28035000,18690000,NV121,CN HCM,,,
5/5/2024,5,ĐH6149228,KH-0646,P-312,7,3030000,21210000,14140000,NV038,CN HCM,,,
5/5/2024,5,ĐH2350051,KH-0610,P-779,6,525000,3150000,2100000,NV165,CN HCM,,,
5/5/2024,5,ĐH1758145,KH-0575,P-105,9,13560000,122040000,81360000,NV215,CN HCM,,,
5/5/2024,5,ĐH7117623,KH-0264,P-656,10,3315000,33150000,22100000,NV071,CN HCM,,,
5/5/2024,5,ĐH6557841,KH-0597,P-353,5,3750000,18750000,12500000,NV066,CN HCM,,,
5/5/2024,5,ĐH5069531,KH-0511,P-237,10,195000,1950000,1300000,NV044,CN HCM,,,
5/5/2024,5,ĐH5575705,KH-0629,P-677,9,555000,4995000,3330000,NV220,CN HCM,,,
5/6/2024,5,ĐH9422017,KH-0411,P-767,7,825000,5775000,3850000,NV235,CN HCM,,,
5/6/2024,5,ĐH7843294,KH-0235,P-716,1,840000,840000,560000,NV069,CN HCM,,,
5/6/2024,5,ĐH3355221,KH-0199,P-237,10,195000,1950000,1300000,NV131,CN HCM,,,
5/6/2024,5,ĐH7712780,KH-0332,P-239,8,25635000,205080000,136720000,NV168,CN HCM,,,
5/6/2024,5,ĐH9578198,KH-0303,P-482,8,8835000,70680000,47120000,NV110,CN HCM,,,
5/6/2024,5,ĐH7597222,KH-0592,P-080,4,9600000,38400000,25600000,NV225,CN HCM,,,
5/6/2024,5,ĐH5476033,KH-0354,P-796,9,7335000,66015000,44010000,NV114,CN HCM,,,
5/6/2024,5,ĐH2625607,KH-0547,P-155,9,199425000,1794825000,1196550000,NV012,CN HCM,,,
5/6/2024,5,ĐH7737623,KH-0745,P-033,2,16650000,33300000,22200000,NV025,CN HCM,,,
5/6/2024,5,ĐH1764184,KH-0467,P-523,6,1035000,6210000,4140000,NV162,CN HCM,,,
5/6/2024,5,ĐH6046261,KH-0665,P-172,2,7755000,15510000,10340000,NV200,CN HCM,,,
5/6/2024,5,ĐH9556361,KH-0222,P-050,8,1185000,9480000,6320000,NV240,CN HCM,,,
5/6/2024,5,ĐH6303563,KH-0448,P-530,2,28980000,57960000,38640000,NV209,CN HCM,,,
