Mã KH,Khách hàng,Lĩnh vực kinh doanh,Loại hình DN
KH-0277,BƯU ĐIỆN TỈNH SƠN LA,Năng lượng,Khác
KH-0278,CÔNG TY CỔ PHẦN TẬP ĐOÀN C.E.O,Khác,Cổ phần
KH-0279,Công Ty TNHH Yoosung KN Việt Nam,Khác,TNHH
KH-0280,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI KHO ĐỎ,Dịch vụ,TNHH
KH-0281,CÔNG TY TNHH BOTANICAL COSMETIC,Khác,TNHH
KH-0282,CÔNG TY TNHH SIÊU SIÊU NHỎ,Khác,TNHH
KH-0283,CÔNG TY CỔ PHẦN ĐẦU TƯ SMART FUN,Công nghệ,Cổ phần
KH-0284,CÔNG TY TNHH BESTPLANT,Khác,TNHH
KH-0285,CÔNG TY TNHH THÔNG TIN NTT (VIỆT NAM),Khác,TNHH
KH-0286,CÔNG TY TNHH DAN TI,Khác,TNHH
KH-0287,CÔNG TY TNHH NAM&CO LONDON,Khác,TNHH
KH-0288,CÔNG TY CỔ PHẦN DỊCH VỤ GIẢI PHÁP CÔNG NGHỆ MẠNG 10,Công nghệ,Cổ phần
KH-0289,CÔNG TY TNHH SỮA CHO TƯƠNG LAI,Công nghệ,TNHH
KH-0290,CÔNG TY CỔ PHẦN ĐIỆN VÀ CHIẾU SÁNG AN PHÚ,Năng lượng,Cổ phần
KH-0291,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ BẤT ĐỘNG SẢN HÒA BÌNH - KHÁCH SẠN NOVOTEL SUITES HÀ NỘI,Công nghệ,TNHH
KH-0292,CÔNG TY TNHH CƠ ĐIỆN LẠNH - THƯƠNG MẠI HÒA BÌNH,Năng lượng,TNHH
KH-0293,Công ty TNHH Công nghiệp nặng Doosan Việt Nam,Sản xuất,TNHH
KH-0294,Ngân Hàng Thương Mại Cổ Phần Kỹ Thương Việt Nam,Dịch vụ,Cổ phần
KH-0295,Công Ty Cổ Phần Công Nghệ Sao Bắc Đẩu,Công nghệ,Cổ phần
KH-0296,Chi Nhánh CTy TNHH CARGILL Việt Nam  tại Hưng yên,Công nghệ,TNHH
KH-0297,Công ty TNHH Quảng cáo Duy Nguyên,Dịch vụ,TNHH
KH-0298,Công Ty Cổ Phần Thương Mại Và Công Nghệ Thông Tin Tân Việt,Công nghệ,Cổ phần
KH-0299,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DU LỊCH TẦM NHÌN VIỆT,Dịch vụ,Cổ phần
KH-0300,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐIỆN BÌNH SƠN,Năng lượng,Cổ phần
KH-0301,Công Ty TNHH Một Thành Viên Techcoms,Công nghệ,TNHH
KH-0302,Công ty Cổ Phần Visco,Khác,Cổ phần
KH-0303,Công ty cổ phần 3B,Khác,Cổ phần
KH-0304,Công Ty Cổ Phần Đầu Tư Xây Dựng Thương Mại Công Nghệ Thăng Long,Công nghệ,Cổ phần
KH-0305,Phòng Tài Vụ - Viện Quy Hoạch Thủy Lợi,Xây dựng,Khác
KH-0306,TRUNG TÂM PHÁT TRIỂN THƯƠNG MẠI ĐIỆN TỬ,Công nghệ,Khác
KH-0307,NGÂN HÀNG HỢP TÁC XÃ VIỆT NAM,Dịch vụ,Khác
KH-0308,Công ty TNHH Medikit Việt Nam,Công nghệ,TNHH
KH-0309,Công Ty TNHH Thương Mại Hoàng Phát,Khác,TNHH
KH-0310,Công ty Cổ phần Sản xuất và Dịch vụ Máy tính 3C,Công nghệ,Cổ phần
KH-0311,Công ty TNHH Thương mại và xuất nhập khẩu D&C Việt Nam,Sản xuất,TNHH
KH-0312,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG TECCOM,Công nghệ,Cổ phần
KH-0313,CÔNG TY TNHH QUẢN LÝ XÂY DỰNG VINCOM 1,Dịch vụ,TNHH
KH-0314,Công ty TNHH Đầu tư xây dựng và thương mại Ngãi Cầu,Xây dựng,TNHH
KH-0315,Công Ty TNHH thương mại kỹ thuật Thiên Phú,Khác,TNHH
KH-0316,CÔNG TY TNHH CÔNG NGHỆ ĐỘT DẬP MOCHIZUKI VIỆT NAM,Công nghệ,TNHH
KH-0317,Công ty TNHH Dịch Vụ Số Hợp Quân,Dịch vụ,TNHH
KH-0318,Công ty TNHH Ogishi Việt Nam,Khác,TNHH
KH-0319,CÔNG TY CỔ PHẦN VIỆT NGA,Khác,Cổ phần
KH-0320,CHI NHÁNH CÔNG TY TNHH TODA VIỆT NAM TẠI HÀ NỘI,Khác,TNHH
KH-0321,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TRANG NHI,Dịch vụ,TNHH
KH-0322,CÔNG TY TNHH VIETNAM JINTUO ELECTRONICS,Công nghệ,TNHH
KH-0323,CÔNG TY TNHH MTV THƯƠNG MẠI ITCG VIỆT NAM,Công nghệ,TNHH
KH-0324,Công ty CP Đầu tư và Phát triển Đô thị Việt Hưng,Khác,Cổ phần
KH-0325,CÔNG TY TNHH CÔNG TRÌNH CẤP THOÁT NƯỚC & HẠ TẦNG ĐÔ THỊ M.A.T,Công nghệ,TNHH
KH-0326,CÔNG TY TNHH TƯ VẤN MRI,Dịch vụ,TNHH
KH-0327,CÔNG TY TRÁCH NHIỆM HỮU HẠN DIGITAL DAESUNG VIỆT NAM,Công nghệ,TNHH
KH-0328,CÔNG TY TNHH POWER LOGICS VINA,Năng lượng,TNHH
KH-0329,CÔNG TY CỔ PHẦN QUỐC TẾ WORLD STAR,Công nghệ,Cổ phần
KH-0330,CÔNG TY CỔ PHẦN TẬP ĐOÀN VBCC,Khác,Cổ phần
KH-0331,CHI NHÁNH MIỀN TRUNG CÔNG TY CỔ PHẦN TU BỔ DI TÍCH TW-VINAREMON,Công nghệ,Cổ phần
KH-0332,CÔNG TY TNHH PIN GP (VIỆT NAM),Năng lượng,TNHH
KH-0333,CÔNG TY TNHH THỜI TRANG STAR,Công nghệ,TNHH
KH-0334,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG CẢNG - ĐƯỜNG THUỶ,Dịch vụ,Cổ phần
KH-0335,CÔNG TY TNHH NISSHO ELECTRONICS VIỆT NAM,Công nghệ,TNHH
KH-0336,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI VIETSUN,Dịch vụ,TNHH
KH-0337,CÔNG TY CỔ PHẦN HỒNG LAM,Khác,Cổ phần
KH-0338,CÔNG TY CỔ PHẦN PHÁT TRIỂN NGUỒN NHÂN LỰC THÁI SƠN,Xây dựng,Cổ phần
KH-0339,CÔNG TY TNHH CÔNG NGHỆ VÀ GIẢI PHÁP THÔNG MINH,Công nghệ,TNHH
KH-0340,CÔNG TY TNHH KỸ NGHỆ BANICO,Khác,TNHH
KH-0341,Công Ty Cổ Phần YoTek,Khác,Cổ phần
KH-0342,CÔNG TY CỔ PHẦN BÁCH TOÀN,Khác,Cổ phần
KH-0343,TỔNG CÔNG TY CỔ PHẦN BIA- RƯỢU- NƯỚC GIẢI KHÁT HÀ NỘI,Khác,Cổ phần
KH-0344,CÔNG TY CỔ PHẦN TƯ VẤN  QUẢN TRỊ DOANH NGHIỆP TINH VÂN,Dịch vụ,Cổ phần
KH-0345,CÔNG TY TNHH HJC VINA,Khác,TNHH
KH-0346,CÔNG TY CP - TẬP ĐOÀN THAIGROUP,Công nghệ,Cổ phần
KH-0347,Tổng cục hậu cần - Bộ quốc phòng,Khác,Khác
KH-0348,CÔNG TY CỔ PHẦN ỨNG DỤNG VÀ PHÁT TRIỂN CÔNG NGHỆ THÔNG TIN,Công nghệ,Cổ phần
KH-0349,Công Ty TNHH Thiết Bị Tin Học Vinatech,Công nghệ,TNHH
KH-0350,BAN PHÁT TRIỂN CỘNG ĐỒNG XÃ VÂN THANH,Năng lượng,Khác
KH-0351,CÔNG TY CỔ PHẦN XÂY LẮP VÀ ĐIỆN NƯỚC QUANG MINH,Năng lượng,Cổ phần
KH-0352,CÔNG TY TNHH THÁI HOA ĐÔ,Khác,TNHH
KH-0353,CÔNG TY TNHH THƯƠNG MẠI & ĐẦU TƯ CÔNG NGHỆ PHƯỢNG HOÀNG,Công nghệ,TNHH
KH-0354,TRUNG TÂM ĐĂNG KIỂM XE CƠ GIỚI 98-02D-CNHTXĐTXDQL VÀ KT CHỢ HẢI AN TẠI TPBG,Khác,Chi nhánh
KH-0355,Công Ty TNHH Một Thành Viên Điện Tử Tin Học MHQ,Công nghệ,TNHH
KH-0356,Công ty Cổ Phần Giải Pháp Tech Vietnam,Công nghệ,Cổ phần
KH-0357,CÔNG TY CỔ PHẦN DỊCH VỤ VĂN PHÒNG BẮC HÀ,Dịch vụ,Cổ phần
KH-0358,Công ty TNHH KSS Việt Nam,Khác,TNHH
KH-0359,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ AN LỘC,Dịch vụ,Cổ phần
KH-0360,"Hợp tác xã đầu tư, xây dựng, quản lý và khai thác chợ Hải An",Công nghệ,Khác
KH-0361,CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ BẢO GIANG,Công nghệ,TNHH
KH-0362,VĂN PHÒNG CÔNG CHỨNG NGUYỄN VĂN THU,Khác,Khác
KH-0363,Công ty TNHH Công Nghệ Phần Mềm TOP Việt Nam,Công nghệ,TNHH
KH-0364,CÔNG TY TNHH HỆ THỐNG MỚI VIỆT NAM,Công nghệ,TNHH
KH-0365,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TIN HỌC EST,Công nghệ,Cổ phần
KH-0366,Công ty Cổ Phần Đầu tư và Phát triển nhà Hà Nội số 52,Khác,Cổ phần
KH-0367,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG AN MA VIỆT NAM,Công nghệ,TNHH
KH-0368,CÔNG TY CỔ PHẦN BELLSYSTEM24-HOASAO,Khác,Cổ phần
KH-0369,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ,Công nghệ,TNHH
KH-0370,VĂN PHÒNG ĐẠI DIỆN NGÂN HÀNG TNHH CTBC TẠI HÀ NỘI,Dịch vụ,TNHH
KH-0371,CÔNG TY TNHH MAXPORT LIMITED (VIET NAM),Công nghệ,TNHH
KH-0372,CÔNG TY TNHH CÔNG NGHỆ PHẨM BA ĐÌNH,Công nghệ,TNHH
KH-0373,CÔNG TY CP THỦY ĐIỆN LEADER NAM TIẾN,Năng lượng,Cổ phần
KH-0374,CÔNG TY CỔ PHẦN A B PHÚ QUỐC,Khác,Cổ phần
KH-0375,CHI NHÁNH CÔNG TY TNHH TƯ VẤN KỸ THUẬT TIN HỌC VÀ THƯƠNG MẠI VIỆT C.A.D,Công nghệ,TNHH
KH-0376,CÔNG TY CỔ PHẦN BLUESOFTS,Khác,Cổ phần
KH-0377,CÔNG TY TNHH ĐIỆN GIÓ CHÍNH THẮNG,Năng lượng,TNHH
KH-0378,CÔNG TY CỔ PHẦN ADVANTECH VIỆT NAM TECHNOLOGY,Công nghệ,Cổ phần
KH-0379,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VIỆT NAM SƠN,Công nghệ,TNHH
KH-0380,CÔNG TY CỔ PHẦN KỸ THUẬT CMP,Khác,Cổ phần
KH-0381,CÔNG TY TNHH THIẾT BỊ NỘI THẤT CAO CẤP,Sản xuất,TNHH
KH-0382,CÔNG TY TNHH TÍN BẢO LAN,Khác,TNHH
KH-0383,CÔNG TY TNNHH KỸ THUẬT BỀN VỮNG VIỆT NAM,Năng lượng,Khác
KH-0384,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ MÁY CHỦ MINH CHÂU,Công nghệ,Cổ phần
KH-0385,CÔNG TY TNHH INSIGHT TECHNOLOGY VIỆT NAM,Công nghệ,TNHH
KH-0386,CÔNG TY LIÊN DOANH Y HỌC VIỆT - HÀN,Khác,Khác
KH-0387,Công ty TNHH dịch vụ công nghệ phát triển bền vững và quản lý năng lượng,Công nghệ,TNHH
KH-0388,Công ty cổ phần tư vấn thiết kế điện Long Giang,Dịch vụ,Cổ phần
KH-0389,CÔNG TY TNHH HỆ THỐNG TRUYỀN TẢI VÀ PHÂN PHỐI TOSHIBA (VIỆT NAM),Công nghệ,TNHH
KH-0390,CÔNG TY TRÁCH NHIỆM HỮU HẠN TIẾP VẬN THĂNG LONG,Dịch vụ,TNHH
KH-0391,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,Xây dựng,Cổ phần
KH-0392,Học Viện Khoa Học Xã Hội,Khác,Khác
KH-0393,CÔNG TY TNHH TƯ VẤN GIẢI PHÁP VÀ ĐÀO TẠO CÔNG NGHỆ THÔNG TIN DIPT,Công nghệ,TNHH
KH-0394,Chi nhánh công ty cổ phần Logistics Vinalink,Dịch vụ,Cổ phần
KH-0395,Công Ty TNHH Framas HaNoi,Khác,TNHH
KH-0396,CÔNG TY TNHH FRAMGIA VIỆT NAM,Khác,TNHH
KH-0397,TRUNG TÂM TIN HỌC- BỘ KHOA HỌC CÔNG NGHỆ,Công nghệ,Khác
KH-0398,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM SAO VIỆT,Công nghệ,TNHH
KH-0399,Công Ty TNHH Sao Đỏ Việt Nam,Khác,TNHH
KH-0400,CÔNG TY CỔ PHẦN THƯƠNG MẠI MÁY CHỦ HÀ NỘI,Khác,Cổ phần
KH-0401,Công ty TNHH Fujitsu Việt Nam,Công nghệ,TNHH
KH-0402,CÔNG TY TNHH PHẦN MỀM CHẤT LƯỢNG,Công nghệ,TNHH
KH-0403,TRUNG TÂM HẠ TẦNG THÔNG TIN TỈNH PHÚC,Công nghệ,Khác
KH-0404,CÔNG TY CỔ PHẦN TÍCH HỢP HỆ THỐNG THÔNG TIN 3CSI,Công nghệ,Cổ phần
KH-0405,CÔNG TY CỔ PHẦN HYUNDAI THÀNH CÔNG VIỆT NAM,Công nghệ,Cổ phần
KH-0406,CHI NHÁNH - CÔNG TY TNHH MỘT THÀNH VIÊN VIỄN THÔNG QUỐC TẾ FPT,Công nghệ,TNHH
KH-0407,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN NAM Á,Công nghệ,Cổ phần
KH-0408,CÔNG TY CỔ PHẦN CÔNG NGHỆ THƯƠNG MẠI DỊCH VỤ VIETSTARS,Công nghệ,Cổ phần
KH-0409,CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ XÂY DỰNG THÁI NGUYÊN,Dịch vụ,Cổ phần
KH-0410,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ TOÀN THẮNG,Công nghệ,TNHH
KH-0411,CHI NHÁNH MIỀN BẮC - CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC,Công nghệ,Cổ phần
KH-0412,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC VÀ TRUYỀN THÔNG VECTECH,Công nghệ,Cổ phần
KH-0413,CÔNG TY CỔ PHẦN CÔNG NGHỆ BẰNG HỮU,Công nghệ,Cổ phần
KH-0414,CÔNG TY CỔ PHẦN ĐẦU TƯ CAPITAL HOUSE,Công nghệ,Cổ phần
KH-0415,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ CÔNG NGHỆ MIỀN BẮC,Công nghệ,Cổ phần
KH-0416,CÔNG TY TNHH THƯƠNG MẠI TÂN AN,Khác,TNHH
KH-0417,CÔNG TY TNHH MEKTEC MANUFACTURING (VIỆT NAM),Khác,TNHH
KH-0418,Công ty TNHH Kỹ Nghệ Phúc Anh,Khác,TNHH
KH-0419,CÔNG TY CỔ PHẦN TECOMEN,Khác,Cổ phần
KH-0420,CÔNG TY CỔ PHẦN RCEE - NIRAS,Khác,Cổ phần
KH-0421,CÔNG TY CỔ PHẦN TMC HÀ NỘI- VIỆT NAM,Khác,Cổ phần
KH-0422,Công ty TNHH JGC Việt Nam,Khác,TNHH
KH-0423,CÔNG TY TNHH TCG LAND,Khác,TNHH
KH-0424,Công ty Cổ phần Overseas Fashions,Khác,Cổ phần
KH-0425,Công ty TNHH Trung tâm Gia công Hà Nội Việt Nam POSCO-VNPC,Sản xuất,TNHH
KH-0426,Công Ty TNHH Liên Kết Công Nghệ,Công nghệ,TNHH
KH-0427,Chi Nhánh Công Ty TNHH Comin Việt Nam,Khác,TNHH
KH-0428,Công Ty TNHH Hệ Thống Công Nghiệp Việt Nam,Công nghệ,TNHH
KH-0429,Công ty TNHH Hellobyte,Khác,TNHH
KH-0430,Công Ty Cổ Phần Thương Mại Kỹ Thuật Tam Thành Phát,Khác,Cổ phần
KH-0431,Văn phòng đại diện New World Fashion Group tại Hồ Chí Minh,Khác,VPĐD
KH-0432,CÔNG TY CỔ PHẦN ĐẦU TƯ Q&T,Khác,Cổ phần
KH-0433,CÔNG TY TNHH CHUNGHWA TELECOM VIỆT NAM,Khác,TNHH
KH-0434,Công ty TNHH Comin Việt Nam,Khác,TNHH
KH-0435,Công Ty Cổ Phần Công Nghệ Thông Tin Địa Lý Ek,Công nghệ,Cổ phần
KH-0436,Công Ty Cổ Phần Thức Ăn Chăn Nuôi Thái Dương,Sản xuất,Cổ phần
KH-0437,Công ty TNHH Thương Mại Và Công Nghệ Việt,Công nghệ,TNHH
KH-0438,Công ty TNHH Dịch vụ Tiện ích Quốc tế OCS,Dịch vụ,TNHH
KH-0439,TRUNG TÂM THỬ NGHIỆM KHÍ THẢI PHƯƠNG TIỆN GIAO THÔNG CƠ GIỚI ĐƯỜNG BỘ,Năng lượng,Khác
KH-0440,Công Ty TNHH Viễn Thông Và Công Nghệ Cao Thái Sơn,Công nghệ,TNHH
KH-0441,Công ty TNHH thương mại và sản xuất Hoàng Mai,Công nghệ,TNHH
KH-0442,CÔNG TY CỔ PHẦN THƯƠNG MẠI HỒNG HÀ,Khác,Cổ phần
KH-0443,TRUNG TÂM THÔNG TIN DỮ LIỆU ĐIỆN TỬ TỈNH THỪA THIÊN HUẾ,Công nghệ,Khác
KH-0444,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN TOÀN CẦU,Công nghệ,TNHH
KH-0445,CÔNG TY TNHH HANSOL ELECTRONICS VIỆT NAM,Công nghệ,TNHH
KH-0446,CÔNG TY TNHH NETCAB,Khác,TNHH
KH-0447,CÔNG TY CỔ PHẦN VICOSTONE,Khác,Cổ phần
KH-0448,CÔNG TY TNHH SX-TM HÀNH MỸ,Khác,TNHH
KH-0449,CÔNG TY TNHH MANPOWER VIỆT NAM,Năng lượng,TNHH
KH-0450,CHI NHÁNH CÔNG TY LIÊN DOANH TNHH NIPPON EXPRESS (VIỆT NAM) TẠI HÀ NỘI,Khác,TNHH
KH-0451,CÔNG TY CỔ PHẦN ĐIỆN TOÁN VIỄN THÔNG VIETTELCO,Công nghệ,Cổ phần
KH-0452,CÔNG TY CỔ PHẦN KỸ THUẬT SIGMA,Khác,Cổ phần
KH-0453,Công ty cổ phần đầu tư và phát triển kỹ thuật năng lượng VEC,Năng lượng,Cổ phần
KH-0454,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ SAVIS VIỆT NAM,Công nghệ,Cổ phần
KH-0455,Công ty cổ phần Vận tải & Dịch vụ Petrolimex Nghệ Tĩnh,Dịch vụ,Cổ phần
KH-0456,Công ty TNHH May Mặc Excel Việt Nam,Sản xuất,TNHH
KH-0457,CÔNG TY CỔ PHẦN TẬP ĐOÀN PHƯỢNG HOÀNG XANH A&A,Khác,Cổ phần
KH-0458,TRƯỜNG QUỐC TẾ ĐA CẤP ANH VIỆT HOÀNG GIA (BVIS ROYAL),Khác,Khác
KH-0459,CÔNG TY TNHH DU LỊCH MẠO HIỂM XUYÊN Á,Dịch vụ,TNHH
KH-0460,Công ty TNHH Thiết Bị Khoa Học Công Nghệ Mới,Công nghệ,TNHH
KH-0461,Công ty Cổ Phần Máy Tính Nhật Mỹ,Công nghệ,Cổ phần
KH-0462,Dự án phát triển hệ thống thông tin quản lý ngành Lâm nghiệp tại Việt Nam-Giai đoạn 2 (Formis II),Công nghệ,Khác
KH-0463,Công Ty TNHH Fruit of The Loom Việt Nam,Công nghệ,TNHH
KH-0464,CÔNG TY TNHH TIN HỌC VIỄN THÔNG NHẤT TIẾN CHUNG,Công nghệ,TNHH
KH-0465,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG,Công nghệ,Cổ phần
KH-0466,CÔNG TY TNHH JFD VIỆT NAM,Khác,TNHH
KH-0467,TRUNG TÂM ỨNG DỤNG CÔNG NGHỆ THÔNG TIN XÚC TIẾN THƯƠNG MẠI,Công nghệ,Khác
KH-0468,Công ty TNHH Công nghiệp Oriental Sports Việt Nam,Sản xuất,TNHH
KH-0469,Công ty TNHH ACTIVE-SEMI Việt Nam,Khác,TNHH
KH-0470,Công Ty CP Dịch Vụ Công Nghệ Sao Bắc Đẩu,Công nghệ,Cổ phần
KH-0471,CÔNG TY CỔ PHẦN SSS VIỆT NAM,Khác,Cổ phần
KH-0472,Công Ty TNHH Sự Lựa Chọn Vàng,Khác,TNHH
KH-0473,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TIN HỌC TÍN THÀNH,Công nghệ,Cổ phần
KH-0474,Công ty TNHH Yen Of LonDon,Khác,TNHH
KH-0475,Công ty TNHH Sugiko Việt Nam,Khác,TNHH
KH-0476,CHI NHÁNH CÔNG TY TNHH PHẦN MỀM FPT TẠI ĐÀ NẴNG,Công nghệ,TNHH
KH-0477,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ FANXIPAN VIỆT NAM,Công nghệ,Cổ phần
KH-0478,Chi nhánh công ty TNHH Shoei Việt Nam tại Bắc Ninh,Khác,TNHH
KH-0479,Công ty TNHH Terumo Việt Nam,Khác,TNHH
KH-0480,CÔNG TY TNHH CÔNG NGHỆ ẮC QUY HENG LI (VIỆT NAM),Công nghệ,TNHH
KH-0481,CÔNG TY TNHH VSIP BẮC NINH,Khác,TNHH
KH-0482,Công Ty Cổ Phần Hà Yến,Khác,Cổ phần
KH-0483,Công Ty Cổ Phần Trò Chơi Hiker,Công nghệ,Cổ phần
KH-0484,Văn phòng dự án Tổ chức TRAFFIC International tại Việt Nam,Khác,Khác
KH-0485,CÔNG TY CỔ PHẦN NHÂN LỰC QUỐC TẾ HRI,Dịch vụ,Cổ phần
KH-0486,CỤC XÚC TIẾN THƯƠNG MẠI,Khác,Khác
KH-0487,CÔNG TY CỔ PHẦN HANACANS,Khác,Cổ phần
KH-0488,QES (ASIA - PACIFIC) SDN BHD.,Khác,Khác
KH-0489,Công Ty TNHH Puretech Việt Nam,Công nghệ,TNHH
KH-0490,Công ty TNHH MTV Cao Su Dầu Tiếng,Khác,TNHH
KH-0491,Công ty TNHH PASONA TECH Việt Nam,Công nghệ,TNHH
KH-0492,Công ty TNHH công nghiệp C.N.T,Sản xuất,TNHH
KH-0493,Công Ty TNHH Honda Lock Việt Nam,Khác,TNHH
KH-0494,Công ty TNHH Sungnam Knitting Mills,Công nghệ,TNHH
KH-0495,CÔNG TY TNHH DAIN LEADERS VIỆT NAM,Công nghệ,TNHH
KH-0496,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT,Dịch vụ,Cổ phần
KH-0497,Công Ty Cổ Phần Careerbuilder,Công nghệ,Cổ phần
KH-0498,"Ngân Hàng Citibank, N.A., Chi Nhánh Thành Phố Hồ Chí Minh",Công nghệ,Chi nhánh
KH-0499,CÔNG TY TNHH ĐIỆN TỬ TIN HỌC IT,Công nghệ,TNHH
KH-0500,CÔNG TY TNHH NHÀ NƯỚC MỘT THÀNH VIÊN KHAI THÁC CÔNG TRÌNH THỦY LỢI PHÚ THỌ,Công nghệ,TNHH
KH-0501,Công ty TNHH Vật Tư Khoa Học Kỹ Thuật Đông Dương,Khác,TNHH
KH-0502,Công Ty TNHH Thương Mại Dịch Vụ Kỹ Thuật G.P.L,Dịch vụ,TNHH
KH-0503,VĂN PHÒNG TỈNH ỦY LÀO CAI,Công nghệ,Khác
KH-0504,Công Ty TNHH Công Nghệ Tin Học C.P,Công nghệ,TNHH
KH-0505,CÔNG TY TNHH NOZOMI,Khác,TNHH
KH-0506,Công ty TNHH Sài Gòn STEC,Khác,TNHH
KH-0507,CÔNG TY TNHH NIPPON PAINT VIỆT NAM (HÀ NỘI),Công nghệ,TNHH
KH-0508,Công ty Cổ phần LICOGI13- Nền móng xây dựng,Xây dựng,Cổ phần
KH-0509,CÔNG TY TNHH EM-TECH VIỆT NAM,Công nghệ,TNHH
KH-0510,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ DẦU KHÍ ĐÔNG HƯNG,Dịch vụ,TNHH
KH-0511,CÔNG TY CỔ PHẦN THỰC PHẨM RICHY MIỀN BẮC,Sản xuất,Cổ phần
KH-0512,Công ty TNHH Công nghệ Niềm Tin,Công nghệ,TNHH
KH-0513,CÔNG TY CỔ PHẦN GIÀY ĐẠI LỘC,Khác,Cổ phần
KH-0514,CÔNG TY TNHH HITACHI PLANT TECHNOLOGIES ( VIỆT NAM),Công nghệ,TNHH
KH-0515,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ DỊCH VỤ NÔNG NGHIỆP VIỆT NAM,Dịch vụ,Cổ phần
KH-0516,CÔNG TY TNHH SD GLOBAL VIỆT NAM,Khác,TNHH
KH-0517,CÔNG TY TNHH TAKAHATA PRECISION VIỆT NAM,Khác,TNHH
KH-0518,CÔNG TY CỔ PHẦN SẢN XUẤT HÀNG THỂ THAO,Sản xuất,Cổ phần
KH-0519,CÔNG TY TNHH SCANDINAVIAN DESIGN VIỆT NAM,Dịch vụ,TNHH
KH-0520,Công Ty TNHH Công Nghiệp Vĩnh Tường Miền Bắc Việt Nam,Sản xuất,TNHH
KH-0521,CÔNG TY TNHH GIẢI PHÁP DG,Dịch vụ,TNHH
KH-0522,CÔNG TY CỔ PHẦN SXKD XNK BÌNH THẠNH,Khác,Cổ phần
KH-0523,CTY JFE ENGINEERING CORPORATION – NTC THCV THI CÔNG & HT CÁC HM LQ ĐẾN GT “CP-2: NM XỬ LÝ NƯỚC THẢI”,Xây dựng,Cổ phần
KH-0524,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN SAIGONTEL,Công nghệ,Cổ phần
KH-0525,Công Ty Cổ Phần Phát Triển Đô Thị Quốc Tế Việt Nam,Khác,Cổ phần
KH-0526,CÔNG TY TNHH DỆT VÀ NHUỘM HƯNG YÊN,Khác,TNHH
KH-0527,TRUNG TÂM ĐÀO TẠO VÀ NÂNG CAO NĂNG LỰC PHỤ NỮ,Dịch vụ,Khác
KH-0528,CÔNG TY CỔ PHẦN CÔNG NGHỆ OCG,Công nghệ,Cổ phần
KH-0529,Công Ty Cổ Phần Nhiệt Điện Vũng Áng II (Vapco),Năng lượng,Cổ phần
KH-0530,CÔNG TY TNHH TM&DV VĨNH CƯỜNG,Khác,TNHH
KH-0531,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ VIỆT,Công nghệ,Cổ phần
KH-0532,CONG TY TNHH MICHELLE,Khác,TNHH
KH-0533,Công ty TNHH MT Hojgaard Việt Nam,Công nghệ,TNHH
KH-0534,Công ty TNHH Technova,Công nghệ,TNHH
KH-0535,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT MOBIFONE,Dịch vụ,Cổ phần
