Mã Sản phẩm,Sản phẩm,Nhóm sản phẩm, Nhãn , Giá vốn ,Phân loại sản phầm
P-192,Phần mềm VERITAS BACKUP EXEC 16 SERVER WIN ML PER SERVER BNDL BUS PACK ESSENTIAL 12 MONTHS CORPORATE_17739-M1,Phần mềm, Phần mềm server ,  9.330.000 ,Phần mềm server
P-193,Phần mềm VERITAS BACKUP EXEC 16 AGENT FOR APPLICATIONS AND DATABASES WIN ML PER SERVER BNDL BUS PACK ESSENTIAL 12 MONTHS CORPORATE_17750-M1,Phần mềm, Phần mềm Bảo mật ,  9.480.000 ,Phần mềm server
P-194,Phí sử dụng phần mềm Office 365 Business ‐ 1 user ‐ 3 months,Phần mềm, Phần mềm server ,  450.000 ,Phần mềm văn phòng
P-195,Phần mềm Autodesk AutoCAD 2018 Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần mềm Bảo mật ,  14.540.000 ,Khác
P-196,Phần mềm Print Manager Plus 9.0 Standard Edition,Phần mềm, Phần mềm văn phòng ,  16.010.000 ,Khác
P-197,"Gia hạn bản quyền phần mềm Fortigate 100D - UTM Bundle (8x5 FortiCare plus NGFW, AV, Web Filtering, Botnet IP/Domain and Antispam Services)",Phần mềm, Phần mềm văn phòng ,  25.900.000 ,Phần mềm Bảo mật
P-198,Phí sử dụng phần mềm Exchange Online (Plan 1)  - 21 user - 3 months,Phần mềm, Phần mềm Bảo mật ,  3.820.000 ,Phần mềm văn phòng
P-199,Phần mềm IDM (IDM),Phần mềm, Phần mềm văn phòng ,  340.000 ,Khác
P-200,Phần mềm BackupAssist,Phần mềm, Phần mềm Bảo mật ,  5.110.000 ,Phần mềm server
P-201,Phần mềm Exchange Granular add-on,Phần mềm, Khác ,  3.120.000 ,Khác
P-202,Phần mềm SQL Continuous add-on,Phần mềm, Phần mềm Bảo mật ,  2.450.000 ,Phần mềm server
P-203,Phần mềm Teklynx Labelview 2015 Pro (Electronic Delivery),Phần mềm, Phần mềm server ,  14.300.000 ,Khác
P-204,Phần mềm SecurityGateway Annual License 25 User,Phần mềm, Phần mềm văn phòng ,  28.080.000 ,Phần mềm server
P-205,Phần mềm Skype for Business Online (Plan 2) - 12 months - 15 user,Phần mềm, Phần mềm server ,  13.200.000 ,Phần mềm văn phòng
P-206,Phần mềm SYMC ENDPOINT PROTECTION SBE 2013 PER USER HOSTED AND ONPREMISE SUB UPFRONT BILL EXPRESS BAND A SB SUPPORT 24 MONTHS,Phần mềm, Phần mềm văn phòng ,  520.000 ,Phần mềm Bảo mật
P-207,Phần mềm Adobe Audition CC for teams All Multiple Platforms Multi Asian Languages Team Licensing Subscription New Education Named license 48 Months,Phần mềm, Phần mềm văn phòng ,  2.940.000 ,Phần mềm văn phòng
P-208,phần mềm Photoshop CC for teams All Multiple Platforms Multi Asian Languages Team Licensing Subscription New Education Named license 12 Months,Phần mềm, Phần mềm Bảo mật ,  2.730.000 ,Phần mềm văn phòng
P-209,Phần mềm VideoStudio Pro X10 Education License (1-4),Phần mềm, Phần mềm Bảo mật ,  4.230.000 ,Khác
P-210,Phí sử dụng phần mềm Office 365 Business - 8 months - 1 user,Phần mềm, Phần mềm văn phòng ,  1.130.000 ,Phần mềm văn phòng
P-211,"Máy tính xách tay Dell Vostro 3468 (K5P6W11)/Black/ Intel KabyLake i5-7200U (2.50GHz upto 3.10GHz, 3MB)/ Ram 4GB DDR4 / HDD 1 TB/ AMD Radeon R5 M420 2GB GDDR3 / 14 inch HD / DVDRW /WC + BT + WL / Dos",Máy tính,,  7.740.000 ,Phần cứng
P-212,Pin máy tính xách tay (6cell),Phụ kiện,Phụ kiện,  820.000 ,Phụ kiện
P-213,phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 10 months,Phần mềm, Phần mềm server ,  13.330.000 ,Phần mềm văn phòng
P-214,Dịch vụ triển khai cài đặt,Dịch vụ,Dịch vụ,  65.000.000 ,Dịch vụ
P-215,Bản quyền phần mềm dùng cho máy vi tính AVG Anti virus Business Adition 1C 1Y,Phần mềm, Phần mềm server ,  410.000 ,Phần mềm văn phòng
P-216,phần mềm Central Endpoint Standar1-9 uers,Phần mềm, Phần mềm văn phòng ,  850.000 ,Khác
P-217,Phần mềm PowerDirector 16 Ultimate,Phần mềm, Khác ,  2.280.000 ,Khác
P-218,Phần mềm VMware vSphere 6 Standard Acceleration Kit for 6 processors,Phần mềm, Khác ,  219.330.000 ,Phần mềm server
P-219,Dịch vụ phần mềm Basic Support/Subscription VMware vSphere Standard Acceleration Kit for 6 processors for 1 year,Phần mềm, Phần mềm Bảo mật ,  60.200.000 ,Phần mềm server
P-220,Bản quyền phần mềm ManageEngine OpManager Essential Edition – IPF Model Initial Product Fee for 100 Devices Pack + Annual Support fee for 100 Devices Pack,Phần mềm, Phần mềm văn phòng ,  107.250.000 ,Phần mềm server
P-221,Phần mềm FrameMaker International English AOO License,Phần mềm, Khác ,  13.200.000 ,Phần cứng
P-222,Phần Mềm SecurityPlus Renewal 7000 User 1 Year,Phần mềm, Phần mềm server ,  46.830.000 ,Phần mềm Bảo mật
P-223,Máy tính xách tay HP Probook 440 G5 3CH00PA,Máy tính,,  11.180.000 ,Phần cứng
P-224,Phần mềm OneDrive for Business (Plan 1)- 60 months,Phần mềm, Khác ,  890.000 ,Phần mềm văn phòng
P-225,Bộ nhớ trong máy tính xách tay Kingston 8GB bus 2400,Phụ kiện,Phụ kiện,  1.610.000 ,Phụ kiện
P-226,Ổ cứng gắn trong Samsung SSD 860 EVO 250 GB M2 Sata 250Gb,Phụ kiện,Phụ kiện,  1.740.000 ,Phụ kiện
P-227,Phần mềm PaintShop Pro 2018 Corporate Edition Lic Single User,Phần mềm, Phần mềm server ,  2.040.000 ,Khác
P-228,"Phần mềm Endpoint Protection, Renewal Software Maintenance, 1-24 Devices 1 YR",Phần mềm, Khác ,  430.000 ,Phần mềm Bảo mật
P-229,"Phần mềm Endpoint Protection, Initial Subscription License with Support, 1-24 Devices 1 YR",Phần mềm, Phần mềm server ,  500.000 ,Phần mềm Bảo mật
P-230,Phần mềm Wondershare PDFelement 6 Professional - Single-User License (Windows),Phần mềm, Phần mềm văn phòng ,  1.860.000 ,Phần mềm văn phòng
P-231,Phần mềm O365XtraFileStrgOpn ShrdSvr SNGL SubsVL OLP NL Annual AddOn Qlfd,Phần mềm, Phần mềm Bảo mật ,  90.000 ,Phần mềm văn phòng
P-232,Phí sử dụng phần mềm Office 365 Business -9 months,Phần mềm, Phần mềm văn phòng ,  1.100.000 ,Phần mềm văn phòng
P-233,Phần mềm SQLSvrStdCore 2017 SNGL OLP 2Lic NL CoreLic Qlfd,Phần mềm, Phần mềm văn phòng ,  45.240.000 ,Phần mềm server
P-234,Phần mềm SQLSvrEntCore 2017 SNGL OLP 2Lic NL CoreLic Qlfd,Phần mềm, Khác ,  168.340.000 ,Phần mềm server
P-235,Máy chủ Dell PowerEdge T330 8x3.5/E3-1220 v6/ 8GB RAM/ 1TB HĐ / DVDRW/ PERC H330/ On- Board LOM 1GBE/ Idarc8 Basic/ 495W PSU/ Bezel/3Yrs Pro,Phụ kiện,Phụ kiện,  21.300.000 ,Phụ kiện
P-236,"Màn hình Dell E2216H 21.5"" Monitor",Phụ kiện,Phụ kiện,  1.500.000 ,Phụ kiện
P-237,Bàn phím Dell KB216B USB,Phụ kiện,Phụ kiện,  130.000 ,Phụ kiện
P-238,Chuột quang vi tính Dell MS116,Phụ kiện,Phụ kiện,  100.000 ,Phụ kiện
P-239,Phần mềm Mdaemon Expired Renewal 2500 User,Phần mềm, Phần mềm văn phòng ,  17.090.000 ,Phần mềm server
P-240,Phần mềm SecurityPlus 500 User,Phần mềm, Phần cứng ,  16.740.000 ,Phần mềm Bảo mật
P-241,Phần mềm bảo mật Splunk Enterprise - Perpetual License 01 GB/Day,Phần mềm, Phần cứng ,  119.200.000 ,Phần mềm server
P-242,Dịch vụ hỗ trợ Splunk Enterprise - Standard Support 01 GB/Day,Dịch vụ,Dịch vụ,  23.840.000 ,Dịch vụ
P-243,Phí sử dụng phần mềm Microsoft Azure,Phần mềm, Phần mềm văn phòng ,  3.670.000 ,Phần mềm server
P-244,Phần mềm MDaemon 2000 User,Phần mềm, Phần cứng ,  30.260.000 ,Phần mềm server
P-245,Phần mềm SecurityGateway for Email Servers 2000 user 1 year,Phần mềm, Phần mềm văn phòng ,  36.330.000 ,Phần mềm server
P-246,Máy tính bảng Lenovo Ideapad Mixx 320-80XF00GHVN Platinum,Máy tính,,  4.060.000 ,Phần cứng
P-247,"Bộ lưu điện APC Smart-UPS màn hình LCD công suất 2200VA, điện áp 230V_SMT2200I",Phụ kiện,Phụ kiện,  9.880.000 ,Phụ kiện
P-248,Phần mềm WinSvrCAL 2016 SNGL OLP NL UsrCAL,Phần mềm, Khác ,  470.000 ,Khác
P-249,Phần mềm ExchgStdCAL 2016 SNGL OLP NL UsrCAL,Phần mềm, Khác ,  1.090.000 ,Phần mềm văn phòng
P-250,Phần mềm ComponentOne Ultimate 2018 v2 - 1 Developer License - Includes 1 Year Subscription and Platinum Support,Phụ kiện,Phụ kiện,  30.900.000 ,Phụ kiện
P-251,Phần mềm Product Design & Manufacturing Collection IC Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần mềm server ,  19.940.000 ,Khác
P-252,Đăng ký tên miền,Phụ kiện,Phụ kiện,  160.000 ,Phụ kiện
P-253,Phí sử dụng phần mềm Exchange Online (Plan 1) - 9 months,Phần mềm, Phần mềm server ,  590.000 ,Phần mềm văn phòng
P-254,Ổ cứng SSD Samsung 860 Evo 250GB M2.2280,Phụ kiện,Phụ kiện,  1.880.000 ,Phụ kiện
P-255,Phần mềm Growing business 1 year,Phần mềm, Phần mềm server ,  6.020.000 ,Phần mềm văn phòng
P-256,Phần mềm MDaemon Renewal 1000 to 1200 User Upgrade,Phần mềm, Phần cứng ,  9.050.000 ,Phần mềm server
P-257,Phần mềm SecurityGateway Annual License 1100 to 1150 User Upgrade 1 Year,Phần mềm, Phần mềm Bảo mật ,  30.560.000 ,Phần mềm server
P-258,Phần mềm XYplorer Standard License Pro,Phần mềm, Phần cứng ,  1.430.000 ,Phần mềm server
P-259,Bản quyền phần mềm Kaspesky Anti Virus cho 1 máy tính (KL1167MUAFS),Phần mềm, Phần mềm văn phòng ,  130.000 ,Phần mềm Bảo mật
P-260,Phí sử dụng phần mềm Exchange Online (Plan 1) - 8 months,Phần mềm, Phần cứng ,  500.000 ,Phần mềm văn phòng
P-261,Phí sử dụng phần mềm Office 365 Business -8 months,Phần mềm, Phần cứng ,  990.000 ,Phần mềm văn phòng
P-262,Phần mềm Teamviewer Corporate Subscription,Phần mềm, Khác ,  15.470.000 ,Khác
P-263,Phần mềm SAP Crystal Reports 2016 Win Intl Nul (3 to 9),Phần mềm, Phần mềm Bảo mật ,  11.200.000 ,Khác
P-264,Phần mềm VisioStd 2016 SNGL OLP NL,Phần mềm, Phần mềm Bảo mật ,  3.510.000 ,Phần mềm văn phòng
P-265,Phần mềm PRTG 500 with 12 maintenance months included,Phụ kiện,Phụ kiện,  22.210.000 ,Phụ kiện
P-266,Phần mềm Office Home and Student 2013 32-bit/x64 English APAC EM DVD (79G-03570),Phần mềm, Phần mềm văn phòng ,  1.050.000 ,Phần mềm văn phòng
P-267,Phần mềm Foxit PhantomPDF Standard 7.0 ( English),Phần mềm, Phần mềm văn phòng ,  1.760.000 ,Phần mềm văn phòng
P-268,Phần mềm Update from Corporate 10 to 11,Phần mềm, Phần mềm văn phòng ,  16.180.000 ,Khác
P-269,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC EXPRESS BAND A ESSENTIAL 12 MONTHS (0E7IOZF0-EI1EA),Phần mềm, Phần mềm server ,  440.000 ,Phần mềm Bảo mật
P-270,Phần mềm Photoshop CC Multiple Platforms Multi Asian languages Licensing Subscription license 1 USER Level 11-49 ( 12 months),Phần mềm, Phần mềm server ,  5.790.000 ,Phần mềm văn phòng
P-271,Phần mềm Access 2016 Sngl OLP NL,Phần mềm, Phần cứng ,  2.610.000 ,Phần mềm văn phòng
P-272,Máy tính HP Workstation Z640 E5-2620v4/8G/1TB/VGA4G/DVDRW/K/M,Máy tính,,  28.800.000 ,Phần cứng
P-273,Màn hình Dell U2515H 25Inch 2K QHD UltraSharp IPS,Phụ kiện,Phụ kiện,  3.720.000 ,Phụ kiện
P-274,Máy tính xách tay Dell Inspiron 7460-N4I5259OW,Máy tính,,  10.360.000 ,Phần cứng
P-275,Thiết bị chuyển mạch Cisco SB SF95D-08 8-port,Phụ kiện,Phụ kiện,  1.200.000 ,Phụ kiện
P-277,Bộ định tuyến Cisco C891F-K9,Phụ kiện,Phụ kiện,  9.730.000 ,Phụ kiện
P-278,Phí sử dụng phần mềm Office 365 Business - 12 months,Phần mềm, Phần cứng ,  1.690.000 ,Phần mềm văn phòng
P-279,Phần mềm Creative Cloud for teams All Apps with Adobe Stock ALL Multiple Platforms Multi Asian Languages  Team Licensing Subscription New- 12 months,Phần mềm, Phần cứng ,  23.720.000 ,Phần mềm văn phòng
P-280,Phần mềm ABBYY FineReader 14 Standard,Phần mềm, Phần cứng ,  3.470.000 ,Khác
P-281,"Máy tính xách tay Lenovo ThinkPad X280 20KFS01900 (core i5-8250U/8GB/256G SSD/12.5""/DOS)",Máy tính,,  16.360.000 ,Phần cứng
P-282,Phần mềm SecureCRT (3-year),Phần mềm, Phần mềm server ,  2.670.000 ,Khác
P-283,Phần mềm VMware vCenter Server 6 Standard for vSphere 6 (Per Instance),Phần mềm, Phần mềm Bảo mật ,  79.180.000 ,Phần mềm server
P-284,Dịch vụ phần mềm Production Support/Subscription VMware vCenter Server 6 Standard for vSphere 6 (Per Instance) for 1 year_VCS6-STD-P-SSS-C,Phần mềm, Phần mềm server ,  20.550.000 ,Phần mềm server
P-285,Máy in Laser đen trắng Canon LBP 2900 (H),Phụ kiện,Phụ kiện,  1.720.000 ,Phụ kiện
P-286,Thiết bị chia mạng TP-Link SF1008D,Phụ kiện,Phụ kiện,  130.000 ,Phụ kiện
P-287,Phần mềm lập trình CXONE-AL01D-V4-UP,Phần mềm, Phần mềm server ,  8.790.000 ,Khác
P-288,Chíp vi xử lý_INTEL_CORE I5-7500 3.4ghz (Giao PBH trên vỏ) + Quạt,Phụ kiện,Phụ kiện,  3.040.000 ,Phụ kiện
P-289,Mạch chính VT_GIGABYTEGA_H110M_DS2,Phụ kiện,Phụ kiện,  900.000 ,Phụ kiện
P-290,Bộ nhớ trong Apacer DDR4 DIMM 2400-16 1024x8 8GB GP (EK 08G2T GEC),Phụ kiện,Phụ kiện,  950.000 ,Phụ kiện
P-291,Ổ cứng Western 1tb sata,Phụ kiện,Phụ kiện,  820.000 ,Phụ kiện
P-292,Màn hình Samsung LED_LS19F350FHNEXV 18.5'',Phụ kiện,Phụ kiện,  1.060.000 ,Phụ kiện
P-293,Bàn phím Genuis KB110USB,Phụ kiện,Phụ kiện,  70.000 ,Phụ kiện
P-294,"Chuột máy tính Genuis RS, DX-120, USB, chiếc. G5 màu đen",Phụ kiện,Phụ kiện,  50.000 ,Phụ kiện
P-295,Nguồn Orient ATX 450W,Phụ kiện,Phụ kiện,  150.000 ,Phụ kiện
P-296,Vỏ máy tính Hantkey HT-055,Phụ kiện,Phụ kiện,  160.000 ,Phụ kiện
P-297,Hỗ trợ kỹ thuật phần mềm Oracle Database Standard Edition 2 - Processor Perpetual (1 năm),Phần mềm, Phần mềm server ,  36.960.000 ,Phần mềm server
P-298,"Máy tính xách tay HP Pavilion 14-bf115TU (3MS11PA)-8250U R4H1T, 14"" Win 10, màu Bạc",Máy tính,,  8.390.000 ,Phần mềm Bảo mật
P-299,Bộ nhớ trong Kingston 4G D4-2400U17 1RX16 UDIMM (KVR24N17S6/4),Phụ kiện,Phụ kiện,  690.000 ,Phụ kiện
P-300,Ổ cứng PLEXTOR 128GB - PX-128S3C,Phụ kiện,Phụ kiện,  910.000 ,Phụ kiện
P-301,Máy tính xách tay (NB)HP Probook 430 G5 Core i7-8550U/4GD4/256GSSD/13.3HD/FP/TPM/Wlac/BT4.1/3C48WHr/ALUp/BAC/DOS/LED_KB(2ZD52PA),Máy tính,,  12.060.000 ,Phần cứng
P-302,"Máy tính xách tay Del INS15 3543 (696TP1) core i5-52U/4G/1TB/DVDRW/15.6""",Máy tính,,  15.950.000 ,Phần cứng
P-303,"Gia hạn bản quyền phần mềm Fortigate 300D: UTM Protection (8x5 FortiCare plus Application Control, IPS, AV, Web Filtering and Antispam Services)",Phần mềm, Phần mềm server ,  51.360.000 ,Phần mềm Bảo mật
P-304,Ổ cứng SSD Transcend MTS820 120GB M2.2280,Phụ kiện,Phụ kiện,  550.000 ,Phụ kiện
P-305,Bộ nhớ trong Kingston 4Gb D4-2400S17 1Rx16 SODIMM(KVR24S17S6/4),Phụ kiện,Phụ kiện,  1.360.000 ,Phụ kiện
P-306,Dịch vụ phần mềm Production Support/Subscription VMware vSphere 5 Essentials Plus Kit for 1 year,Phần mềm, Phần mềm server ,  19.140.000 ,Phần mềm văn phòng
P-307,"Gia hạn bản quyền phần mềm Fortigate 200B UTM Bundle (8x5 FortiCare plus NGFW, AV, Web Filtering and Antispam Services) (FC-10-00202-900-02-12)",Phần mềm, Phần cứng ,  18.140.000 ,Phần mềm Bảo mật
P-308,Phần mềm ESET NOD 32 Antivirus 1User 1Year EAV-1U1Y,Phần mềm, Phần cứng ,  200.000 ,Phần mềm Bảo mật
P-309,phần mềm Basic Support/Subscription VMware vSphere 6 Essentials Plus Kit for 1 year,Phần mềm, Khác ,  14.290.000 ,Phần mềm văn phòng
P-310,"Gia hạn bản quyền phần mềm Fortigate 60D- UTM Bundle (8x5 FortiCare plus NGFW, AV, Web Filtering, Botnet IP/Domain and Antispam Services).",Phần mềm, Phần mềm văn phòng ,  3.680.000 ,Phần mềm Bảo mật
P-311,Phần mềm Trend Micro Titanium Maximum Security 3PC ( 1 Year ),Phần mềm, Khác ,  410.000 ,Phần mềm Bảo mật
P-312,Phí sử dụng phần mềm Skype for Business Online (Plan 2) - 12 months - 2 user,Phần mềm, Khác ,  2.020.000 ,Phần mềm văn phòng
P-313,Phần mềm PRTG Network Monitor 500(PRTG-500),Phần mềm, Phần cứng ,  28.140.000 ,Khác
P-314,Phí sử dụng phần mềm  Office 365 Business Premium - 12 tháng,Phần mềm, Phần mềm văn phòng ,  1.930.000 ,Phần mềm văn phòng
P-315,"Gia hạn bản quyền phần mềm UTM bundle (8x5 FortiCare Plus NGFW, AV, Web Filtering and Antispam Services)) (FC-10-00116-900-02-12)",Phần mềm, Phần cứng ,  13.650.000 ,Phần mềm Bảo mật
P-316,Phần mềm Vray for 3ds Max,Phần mềm, Phần mềm văn phòng ,  12.840.000 ,Khác
P-317,Phần mềm Mdaemon 50 to 100 User Upgrade,Phần mềm, Phần mềm server ,  1.110.000 ,Phần mềm server
P-318,Phần mềm SecurityPlus 100 to 140 User Upgrade,Phần mềm, Phần mềm server ,  1.040.000 ,Phần mềm Bảo mật
P-319,Phần mềm Mdaemon Connector for Outlook 150 to 200 User Upgrade,Phần mềm, Phần mềm server ,  2.540.000 ,Phần mềm văn phòng
P-320,Dịch vụ phần mềm Production Support/Subscription VMware vSphere 6 Essential Plus Kit for 1 year_VS6-ESP-KIT-P-SSS-C,Phần mềm, Phần mềm Bảo mật ,  15.930.000 ,Phần mềm server
P-321,Phần mềm Camtasia-9 Electronic 1 Single User Commercial,Phần mềm, Phần mềm văn phòng ,  4.030.000 ,Khác
P-322,Phần mềm Radmin 3 Remote Control - Additional 5- Client Access license,Phần mềm, Phần mềm văn phòng ,  4.140.000 ,Phần mềm văn phòng
P-323,"Màn hình LCD Dell E2417H 24 Inch Wide (1920x1060 FHD)/cổng VGA, Displayport",Phụ kiện,Phụ kiện,  2.130.000 ,Phụ kiện
P-324,Máy tính để bàn Dell Inspiron 3470 (STI51315-8G-1T) không màn hình (core i5-8400/8GB/1TB/DVDRW/K+M),Máy tính,,  7.720.000 ,Máy tính
P-325,Phần mềm ESET File Security for Microsoft Windows,Phần mềm, Khác ,  1.150.000 ,Phần mềm Bảo mật
P-326,Bản quyền phần mềm Kaspesky Total Security MD 1 năm cho 1 thiết bị (KL1919MCAFS),Phần mềm, Khác ,  250.000 ,Phần mềm Bảo mật
P-327,"Phần mềm Endpoint Protection, Initial Subscription License with Support, 1-24 Devices 3 YR",Phần mềm, Phần mềm văn phòng ,  1.200.000 ,Phần mềm Bảo mật
P-328,Phần mềm Eset Nod 32 Antivirus 3 user 1 year,Phần mềm, Khác ,  160.000 ,Phần mềm Bảo mật
P-329,"Máy tính xách tay Lenovo Thinkpaf X250,i5-5200U(2.2GHz/3MB),4GB RAM,500GB 7200RPM, 12.5'' HD,Intel HD Graphics 5500,Wifi Intel 7265+BT4,HD Camera,FPR, 3cell LiPolymer Front+3cell LiPolymer Rear, No OS,3YWTY_20CLA009VA",Máy tính,,  13.380.000 ,Máy tính
P-330,Ổ cứng SSD Lite-on S900 256Gb sata (0401L256),Phụ kiện,Phụ kiện,  1.750.000 ,Phụ kiện
P-331,"Máy chủ LNV x3650 M4, Xeon 6C E5-2620 95W 2.0GHz/1333MHz/15MB, 1x8GB, O/Bay HS 2.5in SAS/SATA, SR M5110e, 550W p/s, Rack",Phụ kiện,Phụ kiện,  51.010.000 ,Phụ kiện
P-332,Ổ cứng cắm ngoài WD Elements 1 WX21A35J1T7V,Phụ kiện,Phụ kiện,  920.000 ,Phụ kiện
P-333,Máy tính để bàn Asus K30AD-VN018D (90PD00K1-M03350)/Intel Pentium G3240 (3.1 GHz)/Ram 4GB DDR3/500GB HDD 7200 Rpm/Intel HD Graphisc/Gigabit LAN/24xDVD-RW/WL+BT//Keyboard & Mouse/Free Dos,Máy tính,,  3.980.000 ,Máy tính
P-334,"Ổ cứng GN WD My Passport Ultra Metal Edition 2TB 2.5"" USB 3.0 WDBEZW0020BBA",Phụ kiện,Phụ kiện,  2.670.000 ,Phụ kiện
P-335,Phần mềm BACKUP EXEC SERVER ED WIN 1 SERVER ONPREMISE STANDARD LICENSE + ESSENTIAL MAINTENANCE BUNDLE INITIAL 12MO CORPORATE,Phần mềm, Phần mềm văn phòng ,  11.210.000 ,Phần cứng
P-336,Máy tính để bàn Dell Optiplex 3020 MT-4160,Máy tính,,  5.790.000 ,Máy tính
P-337,Màn hình LED DELL  18.5’ – LED E1916HV,Phụ kiện,Phụ kiện,  1.400.000 ,Phụ kiện
P-338,Máy quét ảnh hoặc tài liệu HP N6350-L2730A,Phụ kiện,Phụ kiện,  14.530.000 ,Phụ kiện
P-339,"Ổ cứng gắn ngoài Seagate Backup Plus Slim Portable 1Tb 2.5'' USB3.0, màu đen",Phụ kiện,Phụ kiện,  1.270.000 ,Phụ kiện
P-340,Thẻ nhớ USB Sandisk CZ73 16Gb USB3.0,Phụ kiện,Phụ kiện,  170.000 ,Phụ kiện
P-341,Phần mềm Mdaemon 250 User SKU: MD_NEW_P1,Phần mềm, Phần mềm văn phòng ,  16.660.000 ,Phần mềm server
P-342,Dịch vụ phần mềm Basic Support Coverage VMware vCenter Server 6 Standard for vSphere 6 (Per Instance),Phần mềm, Khác ,  30.580.000 ,Phần mềm server
P-343,Phần mềm Update from Business 10 to 11,Phần mềm, Phần mềm Bảo mật ,  3.170.000 ,Phần mềm văn phòng
P-344,"Máy tính để bàn Dell Precision T3620 MT(42PT36D007)/Intel Xeon E3-1270 v5(3.6GHz, 8Mb) Ram 32Gb(4x8Gb) 2133Mhz DDR4, SSD500Gb ,VGA 4Gb NVIDIA Quadro K220/DVDRW/Integrated Intel 82579 Gigabit Ethernet Controlller/Key+Mouse/Ubuntu/ 3y",Máy tính,,  26.450.000 ,Máy tính
P-345,Màn hình LCD Dell U2715H Wide LED 27 Inch,Phụ kiện,Phụ kiện,  6.760.000 ,Phụ kiện
P-347,Phần mềm MDaemon Renewal 3500 to 4000 User Upgrade 2 Year,Phần mềm, Phần mềm văn phòng ,  26.280.000 ,Phần mềm server
P-348,Phần mềm SecurityPlus Renewal 3500 to 4000 User Upgrade 2 Year,Phần mềm, Phần mềm văn phòng ,  39.330.000 ,Phần mềm Bảo mật
P-349,Phần mềm Production Support/Subsciption for VMwave Site Recovery Manager 6 Standard ( 25 VM Pack) for 1 Year,Phần mềm, Phần cứng ,  16.520.000 ,Phần mềm Bảo mật
P-350,Phần mềm MDaemon 100 users 1 year,Phần mềm, Phần cứng ,  12.670.000 ,Phần mềm server
P-351,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC EXPRESS BAND A ESSENTIAL 36 MONTHS(0E7IOZF0-EI3EA),Phần mềm, Phần cứng ,  720.000 ,Phần mềm Bảo mật
P-352,Pin máy tính xách tay LNV ( DNNBBT-IBMT410),Phụ kiện,Phụ kiện,  1.400.000 ,Phụ kiện
P-353,Máy in Canon LBP151DW,Phụ kiện,Phụ kiện,  2.500.000 ,Phụ kiện
P-354,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL STD LIC EXPRESS BAND A ESSENTIAL 36 MONTHS,Phần mềm, Phần cứng ,  800.000 ,Phần mềm Bảo mật
P-355,Phần mềm Basic Support/Subscription VMware vCenter Server 6 Standard for vSphere 6 (Per Instance) for 3 year,Phần mềm, Phần cứng ,  45.240.000 ,Phần mềm server
P-356,Bộ lưu điện (UPS) santak 500 VA,Phụ kiện,Phụ kiện,  570.000 ,Phụ kiện
P-357,Máy in laser Canon LBP6680x,Phụ kiện,Phụ kiện,  5.290.000 ,Phụ kiện
P-358,Màn chiếu điện Grandview CB-MI106(16:9)GM,Phụ kiện,Phụ kiện,  9.000.000 ,Phụ kiện
P-359,Giá treo máy chiếu EA-100,Phụ kiện,Phụ kiện,  420.000 ,Phụ kiện
P-360,Gia Hạn dịch vụ bảo trì thiết bị Renewal Citrix NetScaler MPX 14020 Platinum Appliance License Program: ELA-3 Renewal Type: Reinstatement Maintenance Level: BRONZE,Dịch vụ,Dịch vụ,  156.650.000 ,Dịch vụ
P-361,ĐTDĐ Apple Iphone 6S Plus 32GB,Phụ kiện,Phụ kiện,  7.030.000 ,Phụ kiện
P-362,Điện thoại di động Samsung J7 Prime,Phụ kiện,Phụ kiện,  3.290.000 ,Phụ kiện
P-363,"Máy tính xách tay Dell XPS 15 9570 (70158746)/ Silver/ Intel Core i7-8750H (2.20 GHz,9 MB)/ Ram 2x8GB/ 512GB SSD/ NVIDIA GeForce GTX 1050 Ti 4GB/ 15.6 inch Full HD/Win 10 + Office 365",Máy tính,,  31.110.000 ,Máy tính
P-364,Phí sử dụng phần mềm Office 365 Enterprise E3 - 12 tháng,Phần mềm, Phần mềm văn phòng ,  3.000.000 ,Phần mềm văn phòng
P-365,Máy ảnh Olympus Tough TG-5,Phụ kiện,Phụ kiện,  7.760.000 ,Phụ kiện
P-366,Thẻ nhớ Sandisk SDSD XPA-016G ExtremePro SDHC 95MB/s 633X,Phụ kiện,Phụ kiện,  320.000 ,Phụ kiện
P-367,"Bộ lưu trữ IBM TS4300 Tape Library Express, 2xLTO 6 HH FC Drive, 2x10m, FC Cable, 2 x LTO Cleaning, Fibre tape drive Suport, Rack Mount Kit, PC-3555-L3A",Phụ kiện,Phụ kiện,  96.720.000 ,Phụ kiện
P-368,Máy tính Dell Vostro 3670MT (70157885)/ Core i3-8100 (3.60 GHz 6MB)/ 1TB HDD/ DVDRW/WL+BT Card/ Mouse/ Keyboard/ Ubuntu/ 1Yr,Máy tính,,  4.800.000 ,Máy tính
P-369,Điện thoại DĐ Apple iPhone 8 Plus 64G-Gray(Chính hãng),Phụ kiện,Phụ kiện,  12.990.000 ,Phụ kiện
